AAR^2
ABC^2
ADL^2
ADQ^2
AGH^3
AIY^3
AKL^2
ANB^2
ANC^2
ANR^3
ATL^6
AUH^3
AVP^2
AVX^3
BAK^2
BCN^3
BER^5
BHX^2
BHZ^2
BJS^2
BLE^3
BOS^5
BRU^2
BUD^2
BUE^2
BUF^2
BUH^2
CAE^2
CEQ^2
CGN^2
CHI^9
CJU^2
CLE^2
CMB^2
CMH^2
COS^2
CPH^2
CRP^3
CSG^2
DAY^3
DEN^2
DFW^10
DGM^2
DLH^2
DMM^2
DRS^2
DTT^3
DUS^3
DXB^8
EAP^4
EIN^2
ETZ^3
FAI^4
FLL^2
FNA^2
FNL^2
FRA^3
FUO^2
GCN^3
GEG^2
GLA^2
GOT^2
GSP^3
GUM^3
HAG^2
HAJ^3
HAM^3
HAR^2
HEL^2
HFD^3
HKG^2
HOU^13
ICT^3
IEV^3
ILE^2
IZM^2
JAX^3
JKT^2
JNB^3
KCL^3
KUL^2
LAS^4
LAX^11
LED^2
LIL^2
LON^15
LYS^4
MAD^3
MAN^2
MCN^3
MEL^5
MEX^3
MGM^2
MIA^5
MIL^8
MKC^3
MKE^2
MMA^4
MON^2
MOW^8
MSP^3
MSY^2
MUC^2
NAP^4
NAS^2
NQT^5
NTL^2
NYC^16
ODE^2
OKA^2
OKC^3
ORL^3
OSA^3
OSL^4
OZR^2
PAR^16
PBI^2
PEN^2
PER^2
PFN^2
PHF^3
PHL^8
PHX^4
PIT^2
PNS^3
PRG^3
RAL^3
REK^2
RIO^2
RMC^2
RNB^2
ROM^6
SAC^4
SAN^6
SAO^3
SAT^4
SCN^2
SDF^2
SDL^2
SDZ^3
SEA^2
SEL^3
SFG^2
SFO^2
SFY^2
SHV^2
SIN^2
SJC^2
SNA^2
SPK^2
SSM^2
STL^3
STO^5
STX^2
SXB^2
SYD^3
SZG^2
SZX^3
TCI^2
TIW^2
TPA^4
TRN^2
TSN^2
TUF^2
TUS^2
TYO^4
UBS^2
VCE^3
VIE^3
VLL^2
VRN^2
WAS^11
WBU^3
WDH^2
YEA^4
YHZ^3
YMQ^5
YOW^6
YPR^2
YQB^4
YTO^5
YVR^3
ZRH^2
