2char_code^3char_code^num_code^name^type
^^280^Accounting Centre of China Aviation     (ACCA)^S
^^570^Sky Bus S.A.C.^D
^^619^Skylink Express Inc.^D
^^646^Nesma Airlines Company Ltd.             dba Nesma Airlines^A
^SEE^587^Air Eagle (Pvt) Ltd.^J
^SMG^15^Smart Cargo S.A.^D
^SOP^265^SOLINAIR Latelsko Podjetje d.o.o.^D
^UGS^651^SKA AIR AND LOGISTICS (U) LTD^D
^UKL^271^PJSC Airline Ukraine-Airalliance^D
0B*^^475^Blue Air Airline Management             Solutions S.R.L.^I
0J^PJZ^254^Premium Jet AG^I
0V*^^338^Vietnam Air Service Company^I
1A^AGT^790^Amadeus IT Group SA^H
1B^^776^Sabre Asia Pacific Pte. Ltd.^H
1D^^^Radixx Solutions International, Inc.^H
1E^^252^Travelsky Technology Limited^H
1F^^788^INFINI Travel Information, Inc.^H
1G^^773^Travelport                              dba Worldspan^H
1H^^446^JSC "Sirena-Travel"^H
1I^^^NetJets Aviation, Inc.^B
1J^^835^AXESS INTERNATIONAL NETWORK INC.^H
1M^^538^JSC Transport Automated Information     Systems - TAIS^H
1N^^892^Navitaire^H
1P^WSP^523^Travelport                              dba Worldspan^H
1Q^^^InteliSys Aviation Systems (2013) I^H
1R^^^JR Technologies Ireland^H
1S^^153^Sabre Inc.^H
1T^^^Hitit Bilgisayar Hizmetleri A.S.^H
1U^^968^ITA Software Inc.^H
1V^^588^Travelport / dba                        Galileo International^H
1X^^^Fly Branson Travel dba Branson Air      Express^H
2A*^DBB^^Deutsche Bahn AG^E
2B^AWT^654^Albawings^A
2C*^^^SNCF^E
2D^DYA^54^Dynamic International Airways, LLC^I
2E*^^^Smokey Bay Air, Inc.^A
2F^^^Fair Aviation (PTY) Ltd.                t/a Fair Aviation^A
2G^^735^Open Joint Stock Company "Angara        Airlines"^A
2H*^0^56^Thalys International^E
2I^SRU^156^Star Up S.A.                            dba Star Peru^I
2I*^CSB^681^21 Air LLC^D
2J^VBW^226^Air Burkina^A
2K^GLG^547^AVIANCA-Ecuador                         dba AVIANCA^I
2L^OAW^102^Helvetic Airways AG^A
2L*^BOL^901^Transportes Aereos Bolivianos^D
2M^MYD^391^Maya Island Air^A
2O*^^^Redemption Inc.^I
2P^GAP^211^Air Philippines Corporation             dba PAL Express and Airphil Express^I
2Q^SNC^^Air Cargo Carriers, LLC.^C
2T*^TBS^212^Kenya Homes Limited dba Timbis          Air Services^D
2U^ERO^^Sun d'Or International Airlines^A
2V*^^554^Amtrak^E
2W^^224^Multiple Solutions Limited              dba Multiple Solutions Limited^D
2Y*^^585^PT. My Indo Airlines^D
2Z^PTB^678^Passaredo Transportes Aereos S.A.^I
3A*^^28^Chu Kong Passenger Transport Co. Ltd.^E
