city_name^por_code^por_name
108 Mile Ranch^ZMH^South Cariboo Regional
Aachen^AAH^Merzbrueck
Aalborg^AAL^Airport
Aarhus^AAR^Airport
Aasiaat^JEG^Aasiaat
Abadan^ABD^Abadan
Aba/Hongyuan^AHJ^Aba/Hongyuan
Abaiang^ABF^Abaiang
Abakan^ABA^Abakan
Abau^ABW^Abau
Abbs^EAB^Abbs
Abeche^AEH^Abeche
Abemama^AEA^Abemama
Abengourou^OGO^Abengourou
Aberdeen^ABZ^Dyce
Aberdeen^APG^Phillips AAF
Aberdeen^ABR^Regional
Abha^AHB^Abha
Abidjan^ABJ^Felix Houphouet-Boigny
Abilene^DYS^Dyess AFB
Abilene^ABI^Regional
Abingdon Downs^ABG^Abingdon Downs
Abingdon^VJI^Virginia Highlands
Aboisso^ABO^Aboisso
Abou Deia^AOD^Abou Deia
Abu Dhabi^DHF^Al Dhafra AB
Abu Dhabi^AZI^Bateen
Abu Dhabi^AUH^International
Abu Dhabi^AYM^Yas Island SPB
Abuja^ABV^Nnamdi Azikiwe Intl
Abu Musa Island^AEU^Abu Musa Island
Abu Rudeis^AUE^Abu Rudeis
Abu Simbel^ABS^Abu Simbel
Acandi^ACD^Alcides Fernandez
Acapulco^ACA^Juan N. Alvarez Intl
Acaricuara^ARF^Acaricuara
Acarigua^AGV^Oswaldo Guevara Mujica
Accra^ACC^Kotoka Intl
Achinsk^ACS^Achinsk
Achutupo^ACU^Achutupo
A Coruna^LCG^Airport
Adado^AAD^Adado
Adak Island^ADK^Adak Island
Adam^AOM^Adam
Adampur^AIP^Adampur
Ada^ADT^Municipal
Adana^UAB^Incirlik AB
Adana^ADA^Sakirpasa
Adareil^AEE^Adareil
Addeain^ADV^Addeain
Addis Ababa^ADD^Bole Intl
Adelaide^ADL^International
Aden^ADE^International
Adiyaman^ADF^Adiyaman
Adrar^AZR^Touat
Adrian^ADG^Lenawee County
Aershan^YIE^Yiershi
Afore^AFR^Afore
Afton^NRI^Grand Lake Regional
Afton^AFO^Municipal
Afutara^AFT^Afutara
Afyon^AFY^Afyon
Agadez^AJY^Manu Dayak Intl
Agadir^AGA^Al Massira
Agartala^IXA^Agartala
Agatti Island^AGX^Agatti Island
Agaun^AUP^Agaun
Agen^AGF^La Garenne
Aggeneys^AGZ^Aggeneys
Aghajari^AKW^Aghajari
Agnew^AGW^Agnew
Agra^AGR^Agra
Agri^AJI^Agri
Agrinion^AGQ^G.Karaiskakis
Agua Boa^GGB^Agua Boa
Aguachica^HAY^Hacaritama
Aguaclara^ACL^Aguaclara
Aguadilla^BQN^Rafael Hernandez
Aguascalientes^AGU^Jesus Teran Peredo Int
Aguni^AGJ^Aguni
Agustin Codazzi^DZI^Las Flores
Ahe^AHE^Ahe
Ahmedabad^AMD^S.VallabhBhai Patel
Ahmed al Jaber^XIJ^Air Base
Ahuas^AHS^Ahuas
Ahwaz^AWZ^Ahwaz
Ai-Ais^AIW^Ai-Ais
Aiambak^AIH^Aiambak
Aiken^AIK^Municipal
Ailigandi^AIL^Ailigandi
Ailuk Island^AIM^Ailuk Island
Ainsworth^ANW^Regional
Aiome^AIE^Aiome
Aioun el Atrouss^AEO^Aioun El Atrouss
Airlie Beach/Shute Hbr^WSY^Whitsunday
Airok^AIC^Ailinglapalap
Aishalton^AHL^Aishalton
Aitape^ATP^Aitape Airstrip
Aitape^TAJ^Tadji
Aitutaki Island^AIT^Aitutaki Island
Aiyura^AYU^Aiyura
Aizawl^AJL^Lengpui
Ajaccio^AJA^Napoleon Bonaparte
Akhiok^AKK^Akhiok
Akiachak^KKI^Akiachak
Akiak^AKI^Akiak
Akieni^AKE^Akieni
Akita^AXT^Akita
Akjoujt^AJJ^Akjoujt
Aklavik^LAK^Freddie Carmichael
Akola^AKD^Akola
Akron/Canton^AKC^Akron Fulton Intl
Akron/Canton^CAK^Regional
Akron^AKO^Colorado Plains Rgnl
Akrotiri^AKT^RAF Station
Aksu^AKU^Aksu
Aktau^SCO^Aktau
Aktobe^AKX^Aktobe
Akulivik^AKV^Akulivik
Akure^AKR^Akure
Akureyri^AEY^Akureyri
Akutan^KQA^Akutan
Al Ain^AAN^International
Alakanuk^AUK^Alakanuk
Alamogordo^HMN^Holloman AFB
Alamogordo^ALM^White Sands Regional
Alamos^XAL^Alamos
Alamosa^ALS^San Luis Valley Rgnl
Al Asad^IQA^Air Base
Albacete^ABC^Airport
Al Baha^ABT^Al-Aqiq
Albany^ALH^Albany
Albany^ALB^International
Albany^ABY^Southwest Georgia Rgnl
Al Bayda^BYD^Al Bayda
Albenga^ALL^Albenga
Albert^BYF^Bray
Albert Lea^AEL^Municipal
Albi^LBI^Le Sequestre
Albina^ABN^Albina
Al Buq^BUK^Al Buq
Albuquerque^ABQ^International Sunport
Albury^ABX^Albury
Aldan^ADH^Aldan
Alderney^ACI^Alderney
Aleg^LEG^Aleg
Alegrete^ALQ^G.Machado Ramos
Aleknagik^WKK^Aleknagik
Aleksandrovsk-Sakhalin^UHS^Aleksandrovsk-Sakhalin
Alenquer^ALT^Alenquer
Aleppo^ALP^International
Alerta^ALD^Alerta
Alert^YLT^Alert
Alert Bay^YAL^Alert Bay
Alesund^AES^Vigra
Alexander Bay^ALJ^Alexander Bay
Alexander City^ALX^Thomas C Russell Field
Alexandra^ALR^Alexandra
Alexandria Bay^AXB^Maxson Airfield
Alexandria^HBE^Borg el Arab
Alexandria^AXN^Chandler Field
Alexandria^ALY^El Nouzha
Alexandria^ESF^Esler Regional
Alexandria^AEX^International
Alexandria Station^AXL^Alexandria Station
Alexandroupolis^AXD^Dimokritos
Al Fallujah^TQD^Al Taqaddum AB
Al Ghaydah^AAY^Al Ghaydah
Alghero^AHO^Fertilia
Algiers^ALG^Houari Boumediene
Algona^AXG^Municipal
Al Hoceima^AHU^Cherif El Idrissi
Alicante^ALC^Airport
Alice Arm^ZAA^Silver City SPB
Alice^ALI^International
Alice Springs^ASP^Airport
Aliceville^AIV^George Downer
Ali Sabieh^AII^Ali Sabieh
Alitak^ALZ^Sea Plane Base
Al Kharj^AKH^Prince Sultan AB
Allahabad^IXD^Allahabad
Allakaket^AET^Allakaket
Alldays^ADY^Alldays
Allentown^ABE^Lehigh Valley Intl
Alliance^AIA^Municipal
Alma^YTF^Alma
Alma^AMN^Gratiot Community
Almaty^BXJ^Borolday
Almaty^ALA^International
Almeirim^GGF^Almeirim
Almenara^AMJ^Cirilo Queiroz
Almeria^LEI^Airport
Al Najaf^NJF^Al-Ashraf Intl
Along^IXV^Along
Alor^ARD^Mali
Alor^AXO^Pantar
Alor Setar^AOR^Sultan Abdul Halim
Alotau^GUR^Gurney
Alowe^AWE^Alowe
Alpena^APN^Alpena County Regional
Alpha^ABH^Alpha
Alpine^ALE^Casparis Municipal
Alroy Downs^AYD^Alroy Downs
Alta^ALF^Alta
Alta Floresta^AFL^Oswaldo Marques Dias
Altai^LTI^Altai
Altamira^ATM^Altamira
Altay^AAT^Altay
Altenburg^AOC^Nobitz
Altenrhein^ACH^St Gallen-Altenrhein
Al Thaurah^SOR^Al Thaurah
Alto Boa Vista^SWM^Suia-Missu
Alto Molocue^AME^Alto Molocue
Alton Downs^AWN^Alton Downs
Alton^ALN^St Louis Regional
Altoona^AOO^Blair County
Alto Palena^WAP^Alto Palena
Alto Parnaiba^APY^Alto Parnaiba
Alto Rio Senguer^ARR^Alto Rio Senguer
Altus^LTS^AFB
Altus^AXS^Quartz Mountain Rgnl
Al Udeid^XJD^Air Base
Alula^ALU^Alula
Al Ula^ULH^Majeed Bin Abdulaziz
Alverca^AVR^Alverca
Alxa Left Banner^AXF^Alxa Left Banner
Alxa Right Banner^RHT^Alxa Right Banner
Ama^AMF^Ama
Amahai^AHI^Amahai
Amakusa^AXJ^Amakusa
Amalfi^AFI^Amalfi
Amami^ASJ^Amami
Amanab^AMU^Amanab
Amarillo^AMA^Rick Husband Intl
Amarillo^TDW^Tradewind
Amasya^MZH^Merzifon
Amata^AMT^Amata
Amazon Bay^AZB^Amazon Bay
Ambanja^IVA^Ampampamena
Ambato^ATF^Chachoan
Ambatolahy^AHY^Ambatolahy
Ambatomainty^AMY^Ambatomainty
Ambatondrazaka^WAM^Ambatondrazaka
Ambilobe^AMB^Ambilobe
Ambler^ABL^Ambler
Amboin^AMG^Amboin
