geoNameId	name	featureCode	countryCode	adminCode1	adminCode2	timeZoneId	latitude	longitude	iata	icao	cityId	cityName	isActive
4592416	Ravens Run Airport	AIRP	US	SC	019	America/New_York	32.82379	-79.80675	null	null	4590389	Palmetto Fort	1
4592655	Regional Medical Center of Orangeburg and Calhoun County Heliport	AIRH	US	SC	075	America/New_York	33.5396	-80.83065	null	null	4597666	Stilton	1
4592856	Richland Memorial Hospital Heliport	AIRH	US	SC	079	America/New_York	34.02793	-81.03343	null	null	4575352	Columbia	1
4592915	Ridgeland Municipal Airport	AIRP	US	SC	053	America/New_York	32.49269	-80.99233	null	null	4592912	Ridgeland	1
4593536	Ross Strip	AIRP	US	SC	031	America/New_York	34.42266	-79.88479	null	null	4576900	Dovesville	1
4593667	Russell Airport	AIRP	US	SC	075	America/New_York	33.35794	-80.45981	null	null	4582000	Holly Hill	1
4593808	Saint George Airport	AIRP	US	SC	035	America/New_York	33.1951	-80.5089	null	null	4572975	Byrd	1
4594259	Saint Matthews Airport	AIRP	US	SC	017	America/New_York	33.68682	-80.68926	null	null	4601083	Wiles Crossroads	1
4594699	Saluda County Airport	AIRP	US	SC	081	America/New_York	33.9268	-81.79455	null	null	4594694	Saluda	1
4594991	Santee Cooper Regional Airport	AIRP	US	SC	027	America/New_York	33.58711	-80.20842	null	KMNI	4586196	Manning	1
4594994	Santee Golf Air Strip	AIRP	US	SC	075	America/New_York	33.48544	-80.45731	null	null	4587332	Milligans	1
4595094	Savannah River Plant Heliport	AIRH	US	SC	003	America/New_York	33.28487	-81.72761	null	null	4572892	Bush (historical)	1
4595227	Scurry Airport	AIRP	US	SC	081	America/New_York	34.08347	-81.75316	null	null	4581563	Hickory Grove	1
4595394	Sexton Airport	AIRP	US	SC	071	America/New_York	34.35013	-81.78316	null	null	4589207	Newberry	1
4595540	Shealy Airport	AIRP	US	SC	063	America/New_York	34.06264	-81.40982	null	null	4579757	Gilbert	1
4595965	Sky Valley Airpark	AIRP	US	SC	007	America/New_York	34.65039	-82.50346	null	null	4600598	West Pelzer	1
4595993	Sloan Airport	AIRP	US	SC	045	America/New_York	35.01845	-82.23428	null	null	4583736	Jordan	1
4597132	Southern Aero Sports Airport	AIRP	US	SC	083	America/New_York	34.62513	-81.89843	null	null	4575973	Cross Anchor	1
4597209	Spartanburg Downtown Memorial Airport	AIRP	US	SC	083	America/New_York	34.91623	-81.95733	SPA	KSPA	4597200	Spartanburg	1
4597568	State Line Ultraport	AIRP	US	SC	021	America/New_York	35.17846	-81.81788	null	null	4597562	State Line	1
4597857	Sugar Hill Airport	AIRP	US	SC	005	America/New_York	33.03905	-81.29427	null	null	4569207	Allendale	1
4597909	Summers Station Heliport	AIRH	US	SC	039	America/New_York	34.30348	-81.31982	null	null	4583382	Jenkinsville	1
4597966	Sumter Municipal Airport	AIRP	US	SC	085	America/New_York	33.99488	-80.36119	null	null	4592283	Quinns Crossroad	1
4598265	Tallon Field	AIRP	US	SC	061	America/New_York	34.10099	-80.12563	null	null	4585999	Lynchburg	1
4598539	Thomason Airfield	AIRP	US	SC	059	America/New_York	34.36346	-81.99316	null	null	4588559	Mountville	1
4598783	Too Goo Doo Farms Airport	AIRP	US	SC	019	America/New_York	32.70462	-80.25315	null	null	4586944	Meggett	1
4599144	Twin City Airport	AIRP	US	SC	051	America/New_York	34.08823	-78.86475	null	null	4585835	Loris	1
4599158	Twin Lakes Airport	AIRP	US	SC	003	America/New_York	33.64569	-81.86706	null	null	4580265	Graniteville	1
4599195	US Army Reserve Center-Clemson Heliport	AIRH	US	SC	073	America/New_York	34.68344	-82.81792	null	null	4586888	Meadow Rose	1
4599284	Union County Airport-Troy Shelton Field	AIRP	US	SC	087	America/New_York	34.6868	-81.64121	null	null	4595026	Sardis	1
4599364	Unity Aerodrome	AIRP	US	SC	057	America/New_York	34.80265	-80.68007	null	null	4584556	Lancaster	1
4599598	W B Upshur Private Airport	AIRP	US	SC	019	America/New_York	32.63213	-80.09232	null	null	4584020	Kiawah Island	1
4600068	Walterboro Municipal Airport	AIRP	US	SC	029	America/New_York	32.92045	-80.64121	null	null	4600065	Walterboro	1
4601035	Wilbanks Airport	AIRP	US	SC	045	America/New_York	35.01262	-82.28595	null	null	4589569	O'Neal	1
