dep_city^distance^page_rank^dist_weighted_by_page_rank
ZSQ-CR^   114^0.00000000000000000000^       0
PUX- A^   113^0.00000000000000000000^       0
GAV-CA^   112^0.00000000000000000000^       0
UVO-CA^   111^0.00000000000000000000^       0
XPW-CR^   106^0.00000000000000000000^       0
DAF-CA^   105^0.00000000000000000000^       0
HZV-CA^   105^0.00000000000000000000^       0
LPJ-CA^   105^0.00000000000000000000^       0
XQM-CR^   103^0.00000000000000000000^       0
ZHF-CR^   101^0.00000000000000000000^       0
CHN- A^    99^0.00000000000000000000^       0
DLK-CA^    99^0.00000000000000000000^       0
XNV-CR^    97^0.00000000000000000000^       0
KGW-CA^    96^0.00000000000000000000^       0
MPT-CA^    95^0.00000000000000000000^       0
THH-CA^    93^0.00000000000000000000^       0
ZYO-CR^    89^0.00000000000000000000^       0
SXH-CA^    88^0.00000000000000000000^       0
ZBE-CA^    87^0.00000000000000000000^       0
SWG-CA^    85^0.00000000000000000000^       0
XOE- O^    85^0.00000000000000000000^       0
OXD- A^    83^0.00000000000000000000^       0
XWO-CR^    83^0.00000000000000000000^       0
LCO-CA^    81^0.00000000000000000000^       0
XJM- A^    81^0.00000000000000000000^       0
XWE-CR^    79^0.00000000000000000000^       0
RHA-CA^    76^0.00000000000000000000^       0
XSL- O^    75^0.00000000000000000000^       0
RBE-CA^    74^0.00000000000000000000^       0
SAM-CA^    74^0.00000000000000000000^       0
HPE-CA^    73^0.00000000000000000000^       0
ODR- C^    73^0.00000000000000000000^       0
GRM- A^    71^0.00000000000000000000^       0
NOO-CA^    70^0.00000000000000000000^       0
NOK- A^    69^0.00000000000000000000^       0
TEP-CA^    69^0.00000000000000000000^       0
ADO- A^    65^0.00000000000000000000^       0
SNT-CA^    63^0.00000000000000000000^       0
CQT-CA^    62^0.00000000000000000000^       0
SQR- A^    62^0.00000000000000000000^       0
ZKA-CR^    61^0.00000000000000000000^       0
HWN-CA^    60^0.00000000000000000000^       0
CTR-CA^    58^0.00000000000000000000^       0
THB- A^    58^0.00000000000000000000^       0
XHU-CR^    58^0.00000000000000000000^       0
CSR-CA^    57^0.00000000000000000000^       0
LUT-CA^    56^0.00000000000000000000^       0
SMP-CA^    56^0.00000000000000000000^       0
TGS-CA^    56^0.00000000000000000000^       0
XQD-CR^    56^0.00000000000000000000^       0
DWA- A^    54^0.00000000000000000000^       0
IPG- A^    53^0.00000000000000000000^       0
SHK- A^    53^0.00000000000000000000^       0
AKC- A^    52^0.00000000000000000000^       0
AWP-CA^    52^0.00000000000000000000^       0
MZQ- A^    51^0.00000000000000000000^       0
OHB-CA^    51^0.00000000000000000000^       0
LNQ-CA^    49^0.00000000000000000000^       0
IVW-CA^    48^0.00000000000000000000^       0
MHV- A^    47^0.00000000000000000000^       0
SIU- A^    47^0.00000000000000000000^       0
TFC-CP^    47^0.00000000000000000000^       0
BUV-CA^    46^0.00000000000000000000^       0
LGR- A^    45^0.00000000000000000000^       0
DLV-CA^    44^0.00000000000000000000^       0
NDV-CH^    43^0.00000000000000000000^       0
TKT- A^    43^0.00000000000000000000^       0
NOM-CA^    42^0.00000000000000000000^       0
CAQ- A^    41^0.00000000000000000000^       0
KNJ-CA^    41^0.00000000000000000000^       0
MFS- A^    41^0.00000000000000000000^       0
MGO-CA^    41^0.00000000000000000000^       0
RAM-CA^    41^0.00000000000000000000^       0
MDP- A^    40^0.00000000000000000000^       0
PKJ- A^    40^0.00000000000000000000^       0
AQM-CA^    38^0.00000000000000000000^       0
HLS- A^    38^0.00000000000000000000^       0
IMD-CA^    38^0.00000000000000000000^       0
MET-CA^    38^0.00000000000000000000^       0
ZDS-CR^    38^0.00000000000000000000^       0
JIP- A^    37^0.00000000000000000000^       0
KES-CA^    37^0.00000000000000000000^       0
NNU- A^    37^0.00000000000000000000^       0
USL-CA^    37^0.00000000000000000000^       0
WAV-CA^    37^0.00000000000000000000^       0
ENB-CA^    36^0.00000000000000000000^       0
