iata_code^icao_code^nb_seats^flight_freq
AA^AAL^21241878^194299
DL^DAL^19170340^161466
WN^SWA^16674264^112952
UA^UAL^15338631^141465
FR^RYR^11994628^63528
CZ^CSN^10052735^62055
MU^CES^9730681^59954
U2^EZY^7603154^45815
TK^THY^7211037^39093
LH^DLH^7051959^41412
CA^CCA^6924340^38558
EK^UAE^6530117^16339
NH^ANA^6143691^29756
BA^BAW^5354933^31639
AC^ACA^5106585^49325
AF^AFR^4828397^27736
JT^LNI^4577331^26082
6E^IGO^4555106^25555
JL^JAL^4284197^23910
SU^AFL^4119030^25609
B6^JBU^4083404^30015
HU^CHH^3850174^21809
G3^GLO^3784649^22751
QR^QTR^3743851^15554
AS^ASA^3707877^30394
JJ^TAM^3558494^19564
SK^SAS^3533786^25934
SV^SVA^3529237^17442
QF^QFA^3340459^22465
LA^LAN^3330070^18929
MF^CXA^3261100^19808
VY^VLG^3233156^17871
KL^KLM^3206140^19792
ZH^CSZ^3194841^20713
AV^AVA^3006231^22119
AB^BER^2997370^18301
GA^GIA^2881884^18674
KE^KAL^2874087^12520
SC^CDG^2718601^16555
3U^CSC^2689202^16045
9W^JAI^2664156^17701
AZ^AZA^2651960^17682
PC^PGT^2590930^13832
WS^WJA^2575661^20702
AK^AXM^2558876^14163
NK^NKS^2504618^14427
CX^CPA^2476200^8157
W6^WZZ^2456624^13270
IB^IBE^2424394^17164
DY^NAX^2365968^12312
AD^AZU^2356777^22296
VA^VOZ^2279207^15196
VN^HVN^2226673^11723
AI^AIC^2226493^12438
AM^AMX^2173829^19642
SQ^SIA^2146807^7276
TG^THA^2084238^6562
EY^ETD^2010768^8671
JQ^JST^2001784^11076
OZ^AAR^2001120^9183
LX^SWR^1999896^12696
MH^MAS^1839988^13697
FD^AIQ^1771993^9864
5J^CEB^1771187^9248
FM^CSH^1704300^10693
PR^PAL^1697833^8977
9C^CQH^1697162^9394
NZ^ANZ^1667689^15174
4U^GWI^1657650^11055
GS^GCR^1636553^13245
F9^FTT^1610972^9873
Y4^VOI^1593892^9139
JD^CBJ^1528458^8843
CI^CAL^1507731^5354
SG^SEJ^1432192^10099
OS^AUA^1430250^10742
AR^ARG^1427188^10504
S7^SBI^1417379^8891
ID^BTK^1401780^8330
CM^CMP^1400816^10325
TP^TAP^1392640^9819
EI^EIN^1380012^9263
AY^FIN^1366692^9757
HO^DKH^1361969^8220
VJ^VJC^1335710^7385
BE^BEE^1303144^17537
G4^AAY^1302892^7794
4O^AIJ^1299335^9679
FZ^FDB^1289609^7304
BR^EVA^1212968^4732
ET^ETH^1209392^7336
HA^HAL^1201046^7807
UX^AEA^1193837^7394
A3^AEE^1150179^6759
QG^CTV^1140089^6337
SA^SAA^1139758^11383
D8^IBK^1089271^5842
KA^HDA^1088661^4880
MS^MSR^1062299^6927
MT^TCX^1025372^4354
SN^BEL^984964^6912
O6^ONE^984802^6451
AT^RAM^951815^6437
8L^LKE^945745^6453
SJ^SJY^945324^6135
G8^GOW^933732^5155
U6^SVR^913096^5459
DD^ZZZ^912074^5724
DE^CFG^907012^3878
HV^TRA^905129^5074
7C^JJA^886673^4763
KN^CUA^884461^5259
G9^ABY^882223^5258
UT^UTA^860813^7116
LS^EXS^859721^4919
VX^VRD^859336^6003
XY^KNE^851608^5170
PN^ZZZ^835129^4807
AH^DAH^814950^6085
EW^EWG^808585^5223
WY^OAS^800940^5454
OD^ZZZ^761608^5986
ZB^MON^742416^3698
SL^TLM^731432^3852
BC^SKY^727331^4107
LO^LOT^715710^7917
HX^CRK^715274^3055
PG^BKP^700209^5755
PK^PIA^699670^4183
XQ^SXS^699456^3702
VB^VIV^697556^3837
X3^TUI^672176^3545
TB^JAF^656210^3856
GF^GFA^645458^4344
BL^PIC^616179^3412
TS^TSC^609446^2524
BK^OKA^600646^4422
PS^AUI^596314^4118
TO^ZZZ^591009^3141
LJ^JNA^579524^2966
VS^VIR^574279^1849
D7^XAX^565558^1494
GJ^CDC^551027^3164
WE^THD^550143^3499
A5^HOP^548781^6894
LY^ELY^545578^2696
V7^VOL^539078^4225
G5^HXA^538125^6361
KQ^KQA^538000^4463
IW^WON^532185^7166
TR^TGW^526360^2958
8Q^OHY^525124^2590
UL^ALK^523030^2842
QZ^AWQ^519700^2876
