por_code^city_code^source^env_id^date_from^date_to^comment
AFW^DFW^R^^^^As of May 2016, AFW has been moved to FTW/Fort Worth, Texas (TX), USA
BAR^^R^^^^As of May 2016, missing from reference data
QHX^QHX^R^^^^As of May 2016, QHX is in BAR/Qionghai, Hainan, China (CN)
BWH^PEN^R^^^^As of May 2016, BWH is in BWH/Butterworth, Malaysia (MY)
CYD^CYD^R^^^^As of May 2016, CYD is in SQS/San Ignacio, Belize (BZ)
EJQ^EJQ^R^^^^As of May 2016, EJQ is in WDS/Shiyan, Hubei, China (CN)
WDS^EJQ^R^^^^As of May 2016, WDS is in WDS/Shiyan, Hubei, China (CN)
FBS^FBS^R^1^^2016-05-16^As of May 2016, FBS is in FRD/Friday Harbor, Washington (WA), USA
FTW^DFW^R^^^^As of May 2016, FTW has been moved to FTW/Fort Worth, Texas (TX), USA
FWH^DFW^R^^^^As of May 2016, FWH has been moved to FTW/Fort Worth, Texas (TX), USA
GBO^WAS^R^^^^As of May 2016, GBO is in BWI/Baltimore, Maryland (MD), USA
HBV^HBV^R^^^^Âs of May 2016, HBV is in HRB/Harbin, Heilongjiang, China (CN)
ITU^BVV^R^^^^As of May 2016, ITU and BVV are in ITU/Iturup Island, Sakhalin, Russia
IUS^IUS^R^^^^As of May 2016, IUS/Inus, Papua New Guinea (PG), cannot be distinguished from WKN/Wakunai
JHL^JHL^R^^^^As of May 2016, JHL is in HZP/Fort MacKay, Alberta, Canada (CA)
JQJ^JIQ^R^^^^As of May 2016, JQJ is in JQJ/Qianjiang, Hubei, China (CN), not in JIQ/Qianjiang, Chongqing, China (CN), 404km from each other
JYQ^YDD^R^^^^As of May 2016, JYQ, YDD and YKH are in YKH/Yingkou, Liaoning, China (CN)
YDD^YDD^NR^^^^As of May 2016, JYQ, YDD and YKH are in YKH/Yingkou, Liaoning, China (CN)
YKH^YDD^NR^^^^As of May 2016, JYQ, YDD and YKH are in YKH/Yingkou, Liaoning, China (CN)
MJI^MJI^R^^^^As of May 2016, MJI is in TIP/Tripoli, Libya (LY)
OBT^ODM^R^1^^2016-05-31^As of May 2016, OBT is in OAK/Oakland, California (CA), USA, not in ODM/Oakland, Maryland (MD), USA, thousands of km away
OFF^^R^^^^As of June 2016, missing from reference data
OGM^OGM^R^^^^As of May 2016, OGM/Ustupo and UTU/Ustupo are the same place in Guna Yala, Panama (PA)
PQD^PQD^R^^^^As of May 2016, PQD is in BTC/Batticaloa, Sri Lanka (LK)
SBD^SBT^R^1^^2016-05-31^As of May 2016, SBD is in SBD/San Bernardino, California (CA), USA. It corresponds to a change of IATA code in 2015, from SBT to SBD. SBT is now assigned to Sabetta, Yamalo-Nenetskiy Avtonomnyy Okrug, Russia (RU)
SBP^CSL^R^1^^2016-06-06^As of May 2016, SBP is in SBP/San Luis Obispo, California (CA), USA. CSL is now Camp San Luis Obispo. So, in effect, there has been a change of IATA code for San Luis Obispo, from CSL to SBP, and CSL has been assigned to a new city (and POR), located a few kilometers from SBP
SPL^SPL^R^^^^As of May 2016, SPL is in AMS/Amsterdam, Netherlands (NL)
SUZ^SUZ^INOR^^^^As of May 2016, SUZ/Suria and HEO/Haelogo, Papua New Guinea (PG), are at the same location. Since Haelogo exists, but Suria does not seem so, it is logical to consider that SUZ airport is in HEO. Ultimately, IATA should fix that duplication issue
TAJ^TAJ^R^^^^As of May 2016, TAJ/Tadji is in ATP/Aitape, Papua New Guinea (PG)
TEJ^TEJ^R^1^^2016-06-06^As of May 2016, TEJ/Teruel is in TEV/Teruel, Spain (ES). Teruel was referenced twice with two different codes (TEJ and TEV). IATA has fixed that in 2015
THW^THW^R^^^^As of May 2016, THW is in TRR/Trincomalee, Sri Lanka (LK)
UWE^UWE^R^^^^As of May 2016, UWE is in WIE/Wiesbaden, Germany (DE)
WIE^UWE^R^^^^As of May 2016, WIE is in WIE/Wiesbaden, Germany (DE)
VUU^BLZ^R^^^^As of May 2016, VUU/Mvuu Camp is in VUU/Liwonde, Malawi (MW). BLZ/Blantyre-Chileka is 100km from VUU
XFW^XFW^R^^^^As of May 2016, XFW is in HAM/Hamburg, Germany (DE)
YZG^YZG^NR^^^^As of May 2016, YZG/Salluit is in YSW/Salluit, Quebec, Canada (CA). Yes, it seems to be an error of IATA that the airport and the city do not have the same IATA code, though the names and locations are the same
ZME^ZME^R^^^^As of June 2016, ZME is in EWR/Newark/Isilin, New Jersey (NJ), USA
ZSH^ZSH^R^1^^2016-06-06^As of May 2016, ZSH/Santa Fe is in SAF/Santa Fe, New Mexico (NM), USA. Indeed, IATA has changed in 2015 the code assigned to the city of Santa Fe, from ZSH to SAF
ZSY^ZSY^R^1^^2016-06-06^As of June 2016, ZSY/Scottsdale Bus Station is in PHX/Phoenix, Arizona (AZ), USA
