pk^2char_code^name^website
air-air-italy-v1^I9^Air Italy^http://www.airitaly.com
air-air-japan-company-v1^NQ^Air Japan^http://www.air-japan.co.jp/
air-air-kbz-v1^K7^Air KBZ^http://www.airkbz.com
air-air-kenya-aviation-v1^QP^Air Kenya Aviation^
air-air-kenya-express-v1^P2^Airkenya Express^http://www.airkenya.com/
air-air-kiribati-v1^IK^Air Kiribati^http://www.airkiribati.com.ki
air-air-koryo-v1^JS^Air Koryo^
air-air-labrador-v1^WJ^Air Labrador^http://www.airlabrador.com/home/
air-air-leisure-egypt-v1^AL^Air Leisure^http://www.air-leisure.com
air-airliaison-v1^Q9^Airliaison^
air-airline-service-v1^ZZ^Airline Service^
air-airlines-png-v1^CG^PNG Air^http://www.pngair.com.pg
air-airline-taimyr-v1^Y7^NordStar^http://www.nordstar.su/
air-air-macau-v1^NX^Air Macau^http://www.airmacau.com.mo
air-air-madagascar-v1^MD^Air Madagascar^
air-air-malta-v1^KM^Air Malta^
air-air-mandalay-v1^6T^Air Mandalay^
air-air-mauritius-v1^MK^Air Mauritius^
air-air-minas-linhas-aereas-v1^6M^Air Minas Linhas Aereas^
air-air-mobility-command-v1^MC^Air Mobility Command^
air-air-moldova-v1^9U^Air Moldova^
air-air-namibia-v1^SW^Air Namibia^
air-air-new-zealand-v1^NZ^Air New Zealand^http://www.airnewzealand.com/gateway
air-air-nigeria-v1^VK^Air Nigeria^
air-air-nippon-wings-v1^EH^ANA Wings^http://www.anawings.co.jp/
air-air-niugini-v1^PX^Air Niugini^
air-air-north-v1^4N^Air North^http://www.flyairnorth.com
air-airnorth-v1^TL^Airnorth^http://airnorth.com.au
air-air-norway-v1^M3^Air Norway^http://www.airnorway.no/
air-air-nostrum-v1^YW^Air Nostrum^http://www.airnostrum.com/home.asp?idioma=2
air-air-panama-v1^7P^Air Panama^
air-air-peace-limited-v1^P4^Air Peace^http://www.flyairpeace.com/
air-air-pegasus-v1^OP^Air Pegasus^http://www.airpegasus.in/
air-airphil-express-v1^2P^Airphil Express^
air-air-rarotonga-v1^GZ^Air Rarotonga^
air-air-saint-pierre-v1^PJ^Air Saint Pierre^
air-air-seoul-v1^RS^Air Seoul^http://flyairseoul.com
air-air-serbia-v1^JU^Air Serbia^http://airserbia.com
air-air-service-liege-v1^L4^Air Service Liege (ASL)^
air-air-seychelles-v1^HM^Air Seychelles^
air-air-sinai-v1^4D^Air Sinai^
air-air-tahiti-nui-v1^TN^Air Tahiti Nui^https://www.airtahitinui.com
air-air-tahiti-v1^VT^Air Tahiti^https://www.airtahiti.com
air-air-tanzania-v1^TC^Air Tanzania^
air-air-timor-v1^6C^Air Timor^
air-air-tindi-v1^8T^Air Tindi^http://www.airtindi.com
air-airtran-airways-v1^FL^Airtran Airways^https://web.archive.org/*/http://www.airtran.com/
air-air-transat-v1^TS^Air Transat^http://www.airtransat.com
air-air-transport-international-v1^8C^Air Transport International^http://www.airtransport.cc/
air-air-uganda-v1^U7^Air Uganda^
air-air-urga-v1^3N^Air Urga^
air-air-vallee-v1^DO^Discovery Airways^
air-air-vanuatu-v1^NF^Air Vanuatu^http://www.airvanuatu.com/
air-air-via-v1^VL^Air VIA^http://www.air-via.com/
air-air-wisconsin-v1^ZW^Air Wisconsin^http://www.airwis.com/
air-air-zimbabwe-v1^UM^Air Zimbabwe^http://airzimbabwe.aero/
air-ais-airlines-v1^IS^AIS Airlines^http://www.aisairlines.nl/
air-aklak-air-v1^6L^Aklak Air^
air-aladia-airlines-v1^9A^Aladia Airlines^
air-alaska-airlines-v1^AS^Alaska Airlines^https://www.alaskaair.com
air-alaska-seaplane-service-v1^J5^Alaska Seaplane Service^
air-alas-uruguay-v1^YZ^Alas Uruguay^http://www.alasuruguay.com.uy
air-albastar-spain-v2^AP^AlbaStar^http://www.albastar.es/
air-albawings-v1^2B^Albawings^https://albawings.com/en
air-alitalia-cityliner-v1^CT^Alitalia CityLiner^http://www.alitalia.com
air-alitalia-v1^AZ^Alitalia^http://www.alitalia.com
air-allegiant-air-v1^G4^Allegiant Air^http://www.allegiantair.com/
air-alliance-airlines-v1^QQ^Alliance Airlines^
air-all-nippon-airways-v1^NH^All Nippon Airways^https://www.ana.co.jp/
air-alma-de-mexico-v1^C4^Alma De Mexico^
air-almasria-universal-airlines-v1^UJ^AlMasria Universal Airlines^http://www.almasriaairlines.com
air-al-naser-airlines-v2^NR^Al-Naser Airlines^https://www.alnaserwings.com/core/en/
air-aloha-air-cargo-v1^KH^Aloha Air Cargo^http://www.AlohaAirCargo.com
air-alpha-air-transport-v1^7U^Alpha Air Transport^
air-alpine-air-v1^N6^Nomad Aviation^
air-als-v1^K4^ALS^
air-amakusa-airlines-v1^MZ^Amakusa Airlines^http://www.amx.co.jp/
air-amaszonas-del-paraguay-v1^ZP^Amaszonas Del Paraguay^
air-amaszonas-v1^Z8^Línea Aérea Amaszonas^http://www.amaszonas.com
air-american-airlines-v1^AA^American Airlines^http://www.aa.com
air-american-eagle-v1^MQ^Envoy Air^http://envoyair.com
air-amerijet-international-v1^M6^Amerijet International^https://amerijet.com/
air-amsterdam-airlines-v1^WD^Amsterdam Airlines Bv^
air-andes-lineas-aereas-v1^OY^Andes Líneas Aéreas^http://www.andesonline.com/
air-angara-airlines-v1^2G^Angara Airlines^
air-anguilla-air-services-v1^Q3^Anguilla Air Services^
air-antrak-air-v1^O4^Antrak Air^
air-apex-airline-v1^SO^Apex Airline^
air-apg-airlines-v1^GP^APG Airlines^
air-ariana-afghan-airlines-v1^FG^Ariana Afghan Airlines^
air-arik-air-v1^W3^Arik Air^https://www.arikair.com/
air-arkefly-v1^OR^TUI Airlines Netherlands^https://www.tui.nl/vliegtickets/
air-arkia-v1^IZ^Arkia^
air-armenia-airways-v1^6A^Armenia Airways^
air-aruba-airlines-v1^AG^Aruba Airlines^http://www.arubaairlines.com/
air-aserca-v1^R7^Aserca^
air-asia-atlantic-airlines-v1^HB^Asia Atlantic Airlines^http://www.asiaatlanticairlines.com/
air-asiana-airlines-v1^OZ^Asiana Airlines^http://flyasiana.com
air-asian-wings-airways-v1^YJ^Asian Wings Airways^http://www.asianwingsair.com
air-asky-v1^KP^ASKY Airlines^http://www.flyasky.com
air-astra-airlines-v1^A2^Astra Airlines^http://astra-airlines.gr
air-astral-aviation-v1^8V^Astral Aviation^http://www.astral-aviation.com/
air-astro-air-v1^8Y^Pan Pacific Airlines^
air-ata-airlines-iran-v1^I3^ATA Airlines^http://www.ataair.ir/
air-atlantic-airways-v1^RC^Atlantic Airways^http://atlantic.fo
air-atlantic-express-airline-v1^4X^Atlantic Express Airline^
air-atlantique-air-assistance-v1^L5^Atlantique Air Assistance^http://www.atlasatlantiqueairlines.com
air-atlantis-european-airways-v1^TD^Atlantis European Airways^
air-atlas-air-v1^5Y^Atlas Air^http://www.atlasair.com/holdings/index.asp
air-atlasjet-airlines-v1^KK^AtlasGlobal^http://www.atlasglb.com/
air-auric-air-services-v1^UI^Auric Air Services^http://www.auricair.com/
air-aurigny-air-services-v1^GR^Aurigny Air Services^
air-austral-lineas-aereas-v1^AU^Austral Líneas Aéreas^http://www.austral.com.ar
air-austrian-airlines-v1^OS^Austrian Airlines^http://www.austrian.com
air-avanza-v1^6V^Avanza^
air-avianca-v1^AV^Avianca^http://www.avianca.com
air-aviastar-tu-v1^4B^Aviastar TU^http://www.aviastartu.com/
air-aviateca-v1^GU^Aviateca^
air-aviation-starlink-v1^Q4^Aviation Starlink^
air-aviator-aviation-v1^T9^Aviator Aviation^
air-avia-traffic-v1^YK^Avia Traffic Company^
air-avies-v1^U3^Avies^
air-avion-express-v1^X9^Avion Express^
air-avior-airlines-v1^9V^Avior Airlines^http://www.aviorair.com
air-avior-regional-v1^3R^Avior Regional^http://www.aviorair.com
air-axess-v1^1J^Axess International^
air-azerbaijan-airlines-v1^J2^Azerbaijan Airlines^
air-azimuth-airlines-v1^A4^Azimuth^https://azimuth.aero/en
