user^region_code^region_name^region_id
Geonames^AF^Africa^6255146
Geonames^AN^Antarctica^6255152
Geonames^AS^Asia^6255147
Geonames^EU^Europe^6255148
Geonames^NA^North America^6255149
Geonames^OC^Oceania^6255151
Geonames^SA^South America^6255150
UNWTO^AF^Africa^
UNWTO^AM^Americas^
UNWTO^AN^Antarctica^
UNWTO^AS^Asia^
UNWTO^EU^Europe^
UNWTO^OC^Oceania^
UNWTO^PA^Pacific^
