pk^por_code^pr_seats^pr_freq
LON-C-2643743^LON^1.0^1.0
MOW-C-524901^MOW^0.8135808675105869^0.9528807247235059
NYC-C-5128581^NYC^0.7621279596692964^0.8753524060801455
PAR-C-2988507^PAR^0.6744340721562676^0.6952001180549073
IST-C-745044^IST^0.6265747366039756^0.7104610890121547
CHI-C-4887398^CHI^0.6199301142036744^0.7814063733848491
TYO-C-1850147^TYO^0.6071368099843906^0.5488550831166171
DXB-C-292223^DXB^0.6053077575160679^0.4558269430726381
ATL-C-4180439^ATL^0.6024182614276107^0.639104672690542
ATL-A-4199556^ATL^0.6021916276859717^0.6384712576847803
DXB-A-6300096^DXB^0.5893183303909048^0.4340809187356268
SAO-C-3448439^SAO^0.5549216465719436^0.689813356275723
LAX-C-5368361^LAX^0.5307025466246482^0.5037350755282938
LAX-A-5368418^LAX^0.5307025466246482^0.5037350755282938
BKK-C-1609350^BKK^0.5122924045996949^0.5184820202564654
ORD-A-4887479^ORD^0.4923306834760558^0.6481931200425128
DFW-C-4684888^DFW^0.489752176670948^0.5831698549221224
SHA-C-1796236^SHA^0.474866168910591^0.5029176221822163
SYD-C-2147714^SYD^0.47254235317091975^0.5386113776861889
SYD-A-2208268^SYD^0.47254235317091975^0.5386113776861889
BJS-C-1816670^BJS^0.46741889085413624^0.47474287074253585
LHR-A-2647216^LHR^0.446843494774712^0.39088973258736237
SEA-C-5809844^SEA^0.44203959973132606^0.430996114606987
PEK-A-6301354^PEK^0.43370870595140976^0.4346626411666194
JKT-C-1642911^JKT^0.42873947625836223^0.4789298869420747
IST-A-6299743^IST^0.4280587762971979^0.47447369574499193
YTO-C-6167865^YTO^0.4278164677301177^0.49504647524724193
CDG-A-6269554^CDG^0.4208956541381894^0.41402732963753597
SEA-A-5809876^SEA^0.4141688585805456^0.38341808075506767
WAS-C-4140963^WAS^0.4138302398881075^0.5315072136682744
FTW-C-4691930^FTW^0.40743472048753754^0.49787624044496714
DFW-A-4684943^DFW^0.40734986142788904^0.4977605173833543
HND-A-6300412^HND^0.400787137559292^0.3732761056215484
DEN-C-5419384^DEN^0.39403633626099427^0.48119710883228034
DEN-A-5419401^DEN^0.39403633626099427^0.48119710883228034
FRA-C-2925533^FRA^0.39318067695110964^0.39285409466450233
YYZ-A-6296338^YYZ^0.3799179061832291^0.4223220973861612
FRA-A-6290293^FRA^0.3748121510539509^0.37350804765525514
CGK-A-6301878^CGK^0.3741321256768372^0.41451741205827664
MEL-C-2158177^MEL^0.36302973592727183^0.3920877684294738
SEL-C-1835848^SEL^0.3622402076935226^0.341636588441284
AMS-C-2759794^AMS^0.3587808518403803^0.3902143800172404
AMS-A-6296680^AMS^0.3587808518403803^0.39021438001724035
MEX-C-3530597^MEX^0.3544994903115476^0.4377831644085234
JFK-A-5122732^JFK^0.3531584361499906^0.33596983262050073
DME-A-6301015^DME^0.3521621714131286^0.41707317557380474
KUL-C-1735161^KUL^0.35051429894614144^0.38854040385487926
HOU-C-4699066^HOU^0.3497154379442742^0.43991100808569916
MEL-A-6290242^MEL^0.3495334356430985^0.3705982813744994
JNB-C-993800^JNB^0.34878555503974257^0.48501656421182504
MEX-A-6299859^MEX^0.3470334425699496^0.4224099282032938
HKG-A-6301089^HKG^0.3463733500121545^0.2756613355722177
HKG-C-1819729^HKG^0.3463733500121544^0.27566133557221767
SIN-C-1880252^SIN^0.3445620157448654^0.3074673592575631
SIN-A-1880725^SIN^0.344512071635836^0.307410473557629
BNE-A-6301292^BNE^0.34403432471780576^0.39690365620833296
BNE-C-2174003^BNE^0.34403432471780576^0.39690365620833296
ANC-C-5879400^ANC^0.3433637910822058^0.3423716273622898
ANC-A-5879378^ANC^0.3429161538272601^0.34190674140774185
BOG-C-3688689^BOG^0.33967332005246165^0.427057811392049
BOG-A-6300736^BOG^0.33967332005246165^0.427057811392049
JNB-A-993986^JNB^0.32793218533659574^0.460339163692215
KUL-A-6301255^KUL^0.32781406638451016^0.33214301656695383
SFO-C-5391959^SFO^0.3240833578875881^0.32144759037560383
