airline_code^apt_org^apt_dst^flt_freq
0B^AGP^OTP^117
0B^AHO^TRN^113
0B^ARN^OTP^69
0B^ATH^CND^27
0B^ATH^LCA^378
0B^ATH^TRN^36
0B^BCM^BGY^125
0B^BCM^BLQ^77
0B^BCM^BRU^69
0B^BCM^CTA^34
0B^BCM^DUB^77
0B^BCM^FCO^178
0B^BCM^LPL^68
0B^BCM^LTN^180
0B^BCM^MAD^69
0B^BCM^TRN^116
0B^BCN^IAS^68
0B^BCN^OTP^117
0B^BGY^BCM^125
0B^BGY^CND^26
0B^BGY^OTP^53
0B^BHX^CLJ^43
0B^BHX^OTP^90
0B^BLQ^BCM^77
0B^BLQ^OTP^116
0B^BRI^TRN^103
0B^BRU^BCM^69
0B^BRU^IAS^69
0B^BRU^OTP^151
0B^BVA^IAS^69
0B^BVA^OTP^179
0B^CDT^OTP^68
0B^CGN^IAS^69
0B^CGN^OTP^111
0B^CLJ^BHX^43
0B^CLJ^DUB^69
0B^CLJ^IAS^100
0B^CLJ^LPL^69
0B^CLJ^OTP^305
0B^CLJ^TSR^76
0B^CND^ATH^27
0B^CND^BGY^26
0B^CND^OTP^940
0B^CTA^BCM^34
0B^CTA^OTP^131
0B^CTA^TRN^379
0B^DUB^BCM^77
0B^DUB^CLJ^69
0B^DUB^OTP^112
0B^FAO^OTP^8
0B^FCO^BCM^178
0B^FCO^IAS^104
0B^FCO^OTP^256
0B^FCO^TRN^670
0B^FLR^OTP^103
0B^GLA^OTP^69
0B^HAM^OTP^69
0B^IAS^BCN^68
0B^IAS^BRU^69
0B^IAS^BVA^69
0B^IAS^CGN^69
0B^IAS^CLJ^76
0B^IAS^FCO^104
0B^IAS^LTN^130
0B^IAS^OTP^458
0B^IAS^TSR^100
0B^IBZ^TRN^35
0B^LCA^ATH^378
0B^LCA^LTN^91
0B^LCA^MXP^3
0B^LCA^OTP^137
0B^LCA^SKG^147
0B^LCA^TLV^31
0B^LIN^OTP^335
0B^LIS^OTP^83
0B^LPL^BCM^68
0B^LPL^CLJ^69
0B^LPL^OTP^124
0B^LTN^BCM^180
0B^LTN^IAS^130
0B^LTN^LCA^91
0B^LTN^OTP^312
0B^LTN^TRN^192
0B^LYS^OTP^69
0B^MAD^BCM^69
0B^MAD^OTP^103
0B^MAD^TRN^190
0B^MAH^TRN^33
0B^MXP^LCA^3
0B^NAP^OTP^91
0B^NAP^TRN^301
0B^NCE^OTP^77
0B^OTP^AGP^117
0B^OTP^ARN^69
0B^OTP^BCN^117
0B^OTP^BGY^53
0B^OTP^BHX^90
0B^OTP^BLQ^116
0B^OTP^BRU^151
0B^OTP^BVA^179
0B^OTP^CDT^68
0B^OTP^CGN^111
0B^OTP^CLJ^306
0B^OTP^CND^940
0B^OTP^CTA^131
0B^OTP^DUB^112
0B^OTP^FAO^8
0B^OTP^FCO^256
0B^OTP^FLR^103
0B^OTP^GLA^69
0B^OTP^HAM^69
0B^OTP^IAS^458
0B^OTP^LCA^137
0B^OTP^LIN^335
0B^OTP^LIS^83
0B^OTP^LPL^124
0B^OTP^LTN^312
0B^OTP^LYS^69
0B^OTP^MAD^103
0B^OTP^NAP^91
0B^OTP^NCE^77
0B^OTP^STR^137
0B^OTP^TLV^26
0B^OTP^TRN^112
0B^OTP^VLC^117
0B^OTP^XHV^752
0B^PMI^TRN^40
0B^PSR^TRN^75
0B^SBZ^STR^116
0B^SKG^LCA^147
0B^STR^OTP^137
0B^STR^SBZ^116
0B^SUF^TRN^241
0B^TLV^LCA^31
0B^TLV^OTP^26
0B^TRN^AHO^113
0B^TRN^ATH^36
0B^TRN^BCM^116
0B^TRN^BRI^103
0B^TRN^CTA^379
0B^TRN^FCO^670
0B^TRN^IBZ^35
0B^TRN^LTN^192
0B^TRN^MAD^190
0B^TRN^MAH^33
0B^TRN^NAP^301
0B^TRN^OTP^112
0B^TRN^PMI^40
0B^TRN^PSR^75
0B^TRN^SUF^241
0B^TRN^TXL^137
0B^TSR^CLJ^100
0B^TSR^IAS^76
0B^TXL^TRN^138
0B^VLC^OTP^117
0B^XHV^OTP^752
0V^CAH^SGN^94
0V^CXR^DAD^53
0V^CXR^SGN^53
0V^DAD^CXR^53
0V^DAD^VII^94
0V^DIN^HAN^188
0V^HAN^DIN^188
0V^HAN^VDH^53
0V^HAN^VII^94
0V^PQC^SGN^94
