pk^env_id^validity_from^validity_to^3char_code^2char_code^num_code^name^name2^alliance_code^alliance_status^type^wiki_link^alt_names^bases^key^version^parent_pk_list
air-aero-transporte-atsa-v1^^2014-01-01^^AMP^4A^212^Aero Transporte^ATSA^^^^^en|Aero Transporte|=en|ATSA|^^air-aero-transporte-atsa^1^
air-aerovias-dap-v1^^^^DAP^V5^0^Aerovias DAP^^^^^https://en.wikipedia.org/wiki/Aerov%C3%ADas_DAP^en|Aerovias DAP|^^air-aerovias-dap^1^
air-aero-vip-portugal-v1^^2014-01-01^^RVP^WV^0^Aero VIP^^^^^https://en.wikipedia.org/wiki/Aero_VIP_(Portugal)^en|Aero VIP|^^air-aero-vip-portugal^1^
air-afghan-jet-v1^^^^^HN^714^Afghan Jet International^^^^^^en|Afghan Jet International|^^air-afghan-jet^1^
air-african-express-airways-v1^^^^^XU^0^African Express Airways^Link Airways^^^P^^en|African Express Airways|=en|Link Airways|^^air-african-express-airways^1^
air-afric-aviation-v1^^2011-01-01^^^L8^348^Afric Aviation^^^^^https://en.wikipedia.org/wiki/Afric_Aviation^en|Afric Aviation|^^air-afric-aviation^1^
air-africa-world-airlines-v1^^2012-09-21^^AFW^AW^394^Africa World Airlines^^^^^https://en.wikipedia.org/wiki/Africa_World_Airlines^abbr|AWA|=en|Africa World Airlines|^ACC^air-africa-world-airlines^1^
air-afrijet-business-service-v1^^2016-04-01^^ABS^J7^0^Afrijet Business Service^^^^^^en|Afrijet Business Service|^LBV^air-afrijet-business-service^1^
air-afriqiyah-airways-v1^^^^AAW^8U^546^Afriqiyah Airways^^^^^^en|Afriqiyah Airways|^^air-afriqiyah-airways^1^
air-aigle-azur-v1^^1946-01-01^^AAF^ZI^439^Aigle Azur^^^^^https://en.wikipedia.org/wiki/Aigle_Azur^en|Aigle Azur|^^air-aigle-azur^1^
air-air-algerie-v1^^1947-03-15^^DAH^AH^124^Air Algerie^^^^^https://en.wikipedia.org/wiki/Air_Alg%C3%A9rie^en|Air Algerie|^^air-air-algerie^1^
air-air-alliance-v1^^1994-01-01^^GGN^ZX^0^Air Georgian^Air Alliance^^^^https://en.wikipedia.org/wiki/Air_Georgian^en|Air Georgian|=en|Air Alliance|^^air-air-alliance^1^
air-air-alsie-v1^^^^^6I^248^Air Alsie^^^^PT^^en|Air Alsie|^^air-air-alsie^1^
air-air-antilles-express-v1^^^^^3S^875^Air Antilles Express^^^^^^en|Air Antilles Express|^^air-air-antilles-express^1^
air-air-arabia-egypt-v1^^2009-09-09^^RBG^E5^844^Air Arabia Egypt^^^^^https://en.wikipedia.org/wiki/Air_Arabia_Egypt^en|Air Arabia Egypt|^^air-air-arabia-egypt^1^
air-air-arabia-maroc-v1^^2009-05-01^^MAC^3O^452^Air Arabia Maroc^^^^^https://en.wikipedia.org/wiki/Air_Arabia_Maroc^en|Air Arabia Maroc|^^air-air-arabia-maroc^1^
air-air-arabia-v1^^2003-10-28^^ABY^G9^514^Air Arabia^^^^^https://en.wikipedia.org/wiki/Air_Arabia^en|Air Arabia|^^air-air-arabia^1^
air-air-asia-india-v1^^2014-06-12^^^I5^0^AirAsia India^^^^^https://en.wikipedia.org/wiki/AirAsia_India^en|AirAsia India|^^air-air-asia-india^1^
air-air-asia-indonesia-extra-v1^^2014-12-26^^INX^XT^0^Indonesia AirAsia X^^^^^https://en.wikipedia.org/wiki/Indonesia_AirAsia_X^en||=en|Indonesia AirAsia X|^^air-air-asia-indonesia-extra^1^
air-air-asia-indonesia-v1^^2000-06-22^^AWQ^QZ^975^Indonesia AirAsia^Awair^^^^https://en.wikipedia.org/wiki/Indonesia_AirAsia^en|Indonesia AirAsia|=en|Awair|^^air-air-asia-indonesia^1^
air-air-asia-japan-v1^^2012-08-01^^WAJ^DJ^0^AirAsia Japan^^^^^https://en.wikipedia.org/wiki/AirAsia_Japan^en|AirAsia Japan|=ja|エアアジア・ジャパン株式会社|=ja|Eāajia Japan Kabushiki-Gaisha|^^air-air-asia-japan^1^
air-air-asia-philippines-v1^^2010-12-01^^APG^PQ^62^AirAsia Philippines^^^^^https://en.wikipedia.org/wiki/AirAsia_Philippines^en|AirAsia Philippines|^MNL^air-air-asia-philippines^1^
air-air-asia-v1^^1996-11-16^^AXM^AK^807^AirAsia^^^^^https://en.wikipedia.org/wiki/AirAsia^en|AirAsia|^^air-air-asia^1^
air-air-asia-x-v1^^^^XAX^D7^843^AirAsia X^^^^^https://en.wikipedia.org/wiki/AirAsia_X^en|AirAsia X|^^air-air-asia-x^1^
air-air-astana-v1^^2002-05-15^^KZR^KC^465^Air Astana^^^^^https://en.wikipedia.org/wiki/Air_Astana^en|Air Astana|^TSE^air-air-astana^1^
air-air-austral-v1^^1975-01-01^^REU^UU^760^Air Austral^^^^^https://en.wikipedia.org/wiki/Air_Austral^en|Air Austral|^^air-air-austral^1^
air-air-bagan-v1^^^^^W9^17^Air Bagan^^^^^^en|Air Bagan|^^air-air-bagan^1^
