iata_code^tz
BVD^America/Anchorage
BZF^America/Los_Angeles
CCD^America/Los_Angeles
CGG^Asia/Manila
CMZ^Africa/Maputo
CST^Pacific/Fiji
CUX^America/Chicago
DDI^Australia/Brisbane
DEO^America/Detroit
DLB^Pacific/Port_Moresby
DRX^Europe/Berlin
DUK^Africa/Johannesburg
FCT^America/Los_Angeles
GBQ^Asia/Bahrain
HAP^Australia/Brisbane
HBB^America/Denver
HBZ^Europe/Berlin
HIH^Australia/Brisbane
HLR^America/Chicago
HSB^America/Chicago
IBO^Africa/Maputo
IMG^Africa/Maputo
IPR^Europe/Rome
ISR^Europe/Rome
ITJ^America/Sao_Paulo
IVI^America/Panama
JAS^America/Chicago
JBC^America/New_York
JBP^America/Los_Angeles
JCT^America/Chicago
JCY^America/Chicago
JDK^America/New_York
JDX^America/Chicago
JEV^Europe/Paris
JGE^Asia/Seoul
JGQ^America/Chicago
JHY^America/Los_Angeles
JID^America/Los_Angeles
JMY^Africa/Freetown
JQF^Europe/Moscow
JQO^Europe/Moscow
JSD^America/New_York
JTO^America/Los_Angeles
JWC^America/Los_Angeles
JWH^America/Chicago
KAM^Asia/Aden
KWD^Africa/Bangui
LOF^Pacific/Majuro
MBF^Australia/Sydney
MDV^Africa/Libreville
MGI^America/Chicago
MHB^Pacific/Auckland
MMR^America/Chicago
MOX^America/Chicago
MUV^America/New_York
NBP^America/New_York
NFF^Asia/Shanghai
NSX^America/Tortola
NUJ^Asia/Tehran
OCW^America/New_York
OKS^America/Denver
OZA^America/Chicago
OZI^Europe/Madrid
PBY^Australia/Brisbane
PCC^America/Bogota
PGC^America/New_York
PHJ^Australia/Sydney
PLG^Europe/Paris
PME^Europe/London
PRW^America/Chicago
QBF^America/Denver
QBM^Europe/Paris
QCA^Asia/Riyadh
QCW^America/New_York
QDE^Indian/Antananarivo
QDI^Europe/Vienna
QDK^Asia/Karachi
QDO^Africa/Mogadishu
QDP^Indian/Antananarivo
QDR^Asia/Damascus
QDS^Indian/Antananarivo
QDT^Africa/Algiers
QDY^Asia/Seoul
QDZ^Africa/Algiers
QEB^Asia/Tokyo
QEC^Africa/Tripoli
QED^Africa/Algiers
QEK^Africa/Cairo
QEL^Pacific/Rarotonga
QEM^Africa/Cairo
QEO^Europe/Warsaw
QEQ^Europe/Zurich
QER^Asia/Aden
QET^Asia/Seoul
QEU^Africa/Dar_es_Salaam
QFB^Europe/Berlin
QFC^Europe/Paris
QFM^Africa/Cairo
QFS^Indian/Comoro
QFV^Europe/Oslo
QFW^Asia/Shanghai
QGK^Indian/Mauritius
QGM^Africa/Algiers
QGR^America/Godthab
QGU^Asia/Tokyo
QGX^Africa/Cairo
QGZ^Asia/Tokyo
QHC^Indian/Antananarivo
QHE^Indian/Antananarivo
QHF^Indian/Antananarivo
QHG^Indian/Antananarivo
QHJ^Europe/Copenhagen
QHL^Africa/Mogadishu
QHM^Asia/Damascus
QHT^Indian/Antananarivo
QHW^Asia/Urumqi
QHY^Asia/Tokyo
QIA^Indian/Antananarivo
QIB^Indian/Antananarivo
QII^Europe/Berlin
QIK^Africa/Lagos
QIM^Africa/Algiers
QIN^Europe/Istanbul
QIO^Africa/Algiers
QIP^Europe/Berlin
QIS^Asia/Tokyo
QIW^Asia/Dubai
QIX^Africa/Dar_es_Salaam
QJA^Indian/Antananarivo
QJB^Asia/Riyadh
QJC^Asia/Thimphu
QJG^America/Godthab
QJJ^America/New_York
QJL^Europe/Oslo
QJM^Indian/Antananarivo
QJN^Asia/Beirut
QJO^Indian/Antananarivo
QJP^Asia/Seoul
QJQ^Asia/Beirut
QJR^Europe/Madrid
QJS^Europe/Copenhagen
QJY^Europe/Warsaw
QKA^Africa/Dar_es_Salaam
QKB^America/Denver
QKD^Europe/Warsaw
QKG^Europe/Athens
QKH^Asia/Karachi
QKO^Africa/Tripoli
QKP^Africa/Johannesburg
QKS^America/Denver
QKW^Asia/Tokyo
QLB^Indian/Antananarivo
QLJ^Europe/Zurich
QLL^America/Sao_Paulo
QLO^America/Los_Angeles
QLW^Indian/Antananarivo
QMB^Indian/Antananarivo
QMD^Asia/Amman
QMI^Indian/Antananarivo
QMJ^Asia/Tehran
QMO^Europe/Brussels
QMP^America/New_York
QMS^Asia/Seoul
QMU^Europe/Paris
QMZ^Europe/Berlin
QNG^Asia/Tokyo
QNH^Indian/Antananarivo
QNT^Indian/Antananarivo
QNZ^Asia/Tokyo
QOD^Indian/Antananarivo
QOG^Europe/Berlin
QOH^Europe/Kiev
QOI^Indian/Antananarivo
QOK^Europe/Oslo
QOM^Asia/Tokyo
QOO^Asia/Tokyo
QOX^Europe/Berlin
QOY^Europe/Warsaw
QPC^Europe/Warsaw
QPE^Indian/Antananarivo
QPF^Indian/Antananarivo
QPI^America/Bogota
QPJ^Europe/Budapest
QPL^Europe/Bucharest
QPM^Europe/Warsaw
QPN^Europe/Bucharest
QPR^Europe/Rome
QPU^Indian/Antananarivo
QPV^Australia/Sydney
QQM^Europe/London
QQN^Europe/London
QQT^Europe/London
QRD^Indian/Antananarivo
QSD^Indian/Antananarivo
QSE^America/Sao_Paulo
QSG^Europe/Copenhagen
QSH^Europe/Berlin
QST^Europe/Istanbul
QSU^Africa/Cairo
QSW^Asia/Damascus
QTD^Africa/Dar_es_Salaam
QTE^Africa/Nairobi
QTF^Asia/Riyadh
QTH^Australia/Sydney
QTK^Europe/Berlin
QTO^Australia/Sydney
QTP^Europe/Oslo
QTR^Asia/Damascus
QTS^Asia/Shanghai
QTT^Africa/Cairo
QTX^Europe/Rome
QTY^Asia/Tokyo
QUC^America/Caracas
QUD^Africa/Cairo
QUH^Africa/Cairo
QUJ^Asia/Seoul
QUR^Indian/Antananarivo
QUT^Asia/Tokyo
QUU^Asia/Seoul
QVC^Africa/Dar_es_Salaam
QVD^Europe/Helsinki
QVG^Europe/Paris
QVH^Africa/Maputo
QVM^Europe/Helsinki
QVO^Europe/Oslo
QVR^Indian/Antananarivo
QVT^Europe/Helsinki
QVW^Europe/Helsinki
QVY^Europe/Helsinki
QVZ^Europe/Helsinki
QWF^America/Denver
QWH^America/Denver
QWK^Europe/Warsaw
QWL^Australia/Sydney
QWM^America/Denver
QWR^Europe/Berlin
QWS^Europe/Warsaw
QWU^Europe/Berlin
QWY^America/Los_Angeles
QXI^Europe/Helsinki
QXK^Europe/Paris
QXX^America/Chicago
QXY^America/Chicago
QYA^Asia/Seoul
QYB^Africa/Lagos
QYE^Europe/Amsterdam
QYF^Europe/Berlin
QYH^Europe/Amsterdam
QYJ^Europe/Berlin
QYS^Asia/Tehran
QZC^Australia/Sydney
QZF^Europe/Paris
QZH^Europe/Paris
QZK^Europe/Helsinki
QZM^Australia/Brisbane
QZS^Europe/Oslo
QZT^Africa/Tripoli
REE^America/Chicago
RLR^Indian/Antananarivo
RSE^Australia/Sydney
RSY^Europe/Paris
RWP^Asia/Karachi
SJG^America/Bogota
SPO^Europe/Madrid
SQB^America/Bogota
TFR^Africa/Cairo
TIS^Pacific/Port_Moresby
