por_code^source^actv_in_optd^actv_in_src^env_id^date_from^date_to^city_code^comment
AFW^R^1^0^^^^DFW^As of May 2016, AFW has been moved to FTW/Fort Worth, Texas (TX), United States (US)
AIY^R^0^1^1^^2016-06-06^^AIY used to be Atlantic City, New Jersey (NJ), United States (US), Geonames ID: 4500546
ASS^I^1^0^1^^2016-07-31^^As of July 2016, not referenced by IATA (though used in flight schedules). Introduced in IATA in August 2016
BAR^R^1^0^^^^^As of May 2016, missing from reference data
BKA^R^0^1^1^^2016-10-01^^BKA used to be Bykovo Airport, Russia (RU), Geonames ID: 7668548
BVF^R^0^1^^^^^BVF used to be Bua Airport, Fiji (FJ), Geonames ID: 8298792
BXC^R^0^1^^^^^BXC used to be Boxborough, Massachusetts (MA), United States (US), Geonames ID: 4931105
BWH^R^1^0^^^^PEN^As of May 2016, BWH is in BWH/Butterworth, Malaysia (MY)
CGX^R^0^1^1^^2017-12-01^^CGX used to be Merrill C. Meigs Field, Illinois (IL), United States (US), Geonames ID: 4902023
CPQ^R^0^1^1^^2017-12-01^^CPQ used to reference Campinas airport, Brazil (BR), but is the same as VCP, Geonames ID: 7730937 / 6300637
CYD^R^1^0^^^^CYD^As of May 2016, CYD is in SQS/San Ignacio, Belize (BZ)
DCR^R^0^1^1^^2017-12-01^^DCR used to be Decatur Hi-Way Airport, Indiana (IN), United States (US), Geonames ID: 4919565
DDL^I^0^1^^^^^DDL corresponds to ACARS, and there is no specific geographical location associated to it
DNE^R^0^1^1^^2016-09-08^^DNE used to be Dallas North Airport, Texas (TX), United States (US), Geonames ID: 4697474
DPC^I^0^1^^^^^DPC corresponds to Data Processing Center, and there is no specific geographical location associated to it
DUQ^R^0^1^^^^^DUQ used to be Duncan Airport, Canada (CA), Geonames ID: 5943865
EBN^IR^0^1^^^^^EBN used to be Ebadon Island Airport, Marshall Islands (MH), Geonames ID: 7303963
EHD^R^0^1^^^^^EHD is a pseudo city
EHT^R^0^1^^^^^EHT used to be Rentschler Field Airport, East Hartford, Connecticut (CT), United States (US), Geonames ID: 4841419
EJQ^R^1^0^^^^EJQ^As of May 2016, EJQ is in WDS/Shiyan, Hubei, China (CN)
ENZ^R^0^1^^^^^ENZ is Mystery Break, New Zealand (NZ)
FBS^R^1^0^1^^2016-05-16^FBS^As of May 2016, FBS is in FRD/Friday Harbor, Washington (WA), United States (US)
FOP^R^0^1^1^^2016-11-10^^FOP used to be Morris Army Airfield, Canada (CA), Geonames ID: 4210187
FQQ^R^0^1^^^^^FQQ may have corresponded to Sightseeing Flight, Austria (AT)
FTW^R^1^0^^^^DFW^As of May 2016, FTW has been moved to FTW/Fort Worth, Texas (TX), United States (US)
FWH^R^1^0^^^^DFW^As of May 2016, FWH has been moved to FTW/Fort Worth, Texas (TX), United States (US)
FZO^R^0^1^^^^^FZO used to be Bristol Filton Airport, United Kingdom (GB), Geonames ID: 6296649
GBO^R^1^0^^^^WAS^As of May 2016, GBO is in BWI/Baltimore, Maryland (MD), United States (US)
GEX^R^0^1^^^^^GEX used to be Geelong Airport, Australia (AU), Geonames ID: 7668715
GVW^R^0^1^1^^2016-06-06^^GVW used to be Richards-Gebaur Airport, Missouri (MO), United States (US), Geonames ID: 4405533
HBV^R^1^0^^^^HBV^Âs of May 2016, HBV is in HRB/Harbin, Heilongjiang, China (CN)
HDQ^IR^1^1^1^^2018-05-04^^HDQ means headquarters, and there is no specific geographical location associated to it. It is however used by a few airlines and other systems, and it has therefore been reactivated in May 2018
HKP^R^0^1^^^^^HKP used to be Kaanapali Airport, Hawaii (HI), United States (US), Geonames ID: 5856832
HRD^R^0^1^^^^^HRD used to be Harstad, Norway (NO), which has now been assigned EVE, Geonames ID: 3153823
IAT^IR^0^1^^^^^IAT corresponds to IATA Traffic Services, and there is no specific geographical location associated to it
III^R^0^1^^^^^III is city name test, France (FR)
