TXQ^R^TOULOUSE RAILWAY^MATABIAU RAILWAY STN^TOULOUSE RAILWA^TOULOUSE/FR:MATABIAU RAILWAY S^TOULOUSE^TLS^Y^^FR^EUROP^ITC2^FR052^43.6208^1.44833^^Y
UIG^R^HUAIHUA RAILWAY^RAILWAY STN^HUAIHUA RAILWAY^HUAIHUA/CN:RAILWAY STN^HUAIHUA^HJJ^Y^^CN^ASIA^ITC3^CN035^27.5147^109.99^^N
VBR^CR^VYBORG^RAILWAY STATION^VYBORG^VYBORG/RU:RAILWAY STATION^VYBORG^VBR^Y^^RU^EURAS^ITC2^RU130^60.7156^28.7514^^Y
VNL^CB^VINALES^BUS STATION^VINALES^VINALES/CU:BUS STATION^VINALES^VNL^Y^^CU^CARIB^ITC1^CU038^22.6139^-83.7125^^N
WLI^CR^WENLING^RAILWAY STATION^WENLING^WENLING/CN:RAILWAY STATION^WENLING^WLI^Y^^CN^ASIA^ITC3^CN035^28.4822^121.321^^N
WZE^R^YICHANG RAIL STN^RAILWAY STATION^YICHANG RAIL ST^YICHANG/CN:RAILWAY STATION^YICHANG^YIH^Y^^CN^ASIA^ITC3^CN035^30.6603^111.365^^N
