pk^env_id^validity_from^validity_to^3char_code^2char_code^num_code^name^name2^alliance_code^alliance_status^type^wiki_link^flt_freq^alt_names^bases
air-aerosvit-airlines^1^1994-04-01^2013-01-31^AEW^VV^870^AeroSvit Airlines^^^^^http://en.wikipedia.org/wiki/Aerosvit_Airlines^^en|AeroSvit Airlines|^
air-aero-transporte-atsa^^2014-01-01^^AMP^4A^212^Aero Transporte^ATSA^^^^^^en|Aero Transporte|=en|ATSA|^
air-aerovias-dap^^^^DAP^V5^0^Aerovias DAP^^^^^http://en.wikipedia.org/wiki/Aerov%C3%ADas_DAP^45^en|Aerovias DAP|^
air-aero-vip-argentina^1^1999-06-23^2010-12-01^AOG^2D^592^Aero VIP (Argentina)^Aero VIP (Argentina)^^^P^http://en.wikipedia.org/wiki/Aero_VIP_(Argentina)^^en|Aero VIP (Argentina)|=en|Aero VIP (Argentina)|^
air-aero-vip-portugal^^2014-01-01^^RVP^WV^0^Aero VIP^^^^^http://en.wikipedia.org/wiki/Aero_VIP_(Portugal)^732^en|Aero VIP|^
air-afghan-jet^^^^^HN^714^Afghan Jet International^^^^^^^en|Afghan Jet International|^
air-african-express-airways^^^^^XU^0^African Express Airways^Link Airways^^^P^^^en|African Express Airways|=en|Link Airways|^
air-afric-aviation^^2011-01-01^^^L8^348^Afric Aviation^^^^^http://en.wikipedia.org/wiki/Afric_Aviation^180^en|Afric Aviation|^
air-africa-west-cargo^^^^^FK^0^Africa West Cargo Ghd^^^^C^^^en|Africa West Cargo Ghd|^
air-africa-world-airlines^^^^AFW^AW^394^Africa World Airlines^^^^^^4066^en|Africa World Airlines|^
air-afriqiyah-airways^^^^AAW^8U^546^Afriqiyah Airways^^^^^^277^en|Afriqiyah Airways|^
air-aigle-azur^^1946-01-01^^AAF^ZI^439^Aigle Azur^^^^^http://en.wikipedia.org/wiki/Aigle_Azur^11475^en|Aigle Azur|^
air-air-algerie^^1947-03-15^^DAH^AH^124^Air Algerie^^^^^http://en.wikipedia.org/wiki/Air_Alg%C3%A9rie^59478^en|Air Algerie|^
air-air-alliance^^1994-01-01^^GGN^ZX^0^Air Georgian^Air Alliance^^^^http://en.wikipedia.org/wiki/Air_Georgian^^en|Air Georgian|=en|Air Alliance|^
air-air-alps-aviation^1^1999-01-01^2014-03-01^LPV^A6^527^Air Alps Aviation^^^^^http://en.wikipedia.org/wiki/Air_Alps^^en|Air Alps Aviation|^
air-air-alsie^^^^^6I^248^Air Alsie^^^^PT^^719^en|Air Alsie|^
air-air-antilles-express^^^^^3S^875^Air Antilles Express^^^^^^11834^en|Air Antilles Express|^
air-air-arabia^^2003-10-28^^ABY^G9^514^Air Arabia^^^^^http://en.wikipedia.org/wiki/Air_Arabia^61883^en|Air Arabia|^
air-air-arabia-egypt^^2009-09-09^^RBG^E5^844^Air Arabia Egypt^^^^^http://en.wikipedia.org/wiki/Air_Arabia_Egypt^1850^en|Air Arabia Egypt|^
air-air-arabia-maroc^^2009-05-01^^MAC^3O^452^Air Arabia Maroc^^^^^http://en.wikipedia.org/wiki/Air_Arabia_Maroc^8903^en|Air Arabia Maroc|^
air-air-armenia^1^2003-01-01^2014-10-31^ARR^QN^907^Air Armenia^^^^^http://en.wikipedia.org/wiki/Air_Armenia^^en|Air Armenia|=fa|ایر آرمنیا|=hy|Էյր Արմենիա|=ru|Эйр Армения|=sign|AIR ARMENIA|=zh|亞美尼亞航空|^
air-air-asia^^1996-11-16^^AXM^AK^807^AirAsia^^^^^http://en.wikipedia.org/wiki/AirAsia^174812^en|AirAsia|^
air-air-asia-india^^2014-06-12^^^I5^0^AirAsia India^^^^^http://en.wikipedia.org/wiki/AirAsia_India^13812^en|AirAsia India|^
air-air-asia-indonesia^^2000-06-22^^AWQ^QZ^975^Indonesia AirAsia^Awair^^^^http://en.wikipedia.org/wiki/Indonesia_AirAsia^43583^en|Indonesia AirAsia|=en|Awair|^
air-air-asia-indonesia-extra^^2014-12-26^^INX^XT^0^^Indonesia AirAsia X^^^^http://en.wikipedia.org/wiki/Indonesia_AirAsia_X^4678^en||=en|Indonesia AirAsia X|^
air-air-asia-japan^^2012-08-01^^WAJ^DJ^0^AirAsia Japan^^^^^http://en.wikipedia.org/wiki/AirAsia_Japan^^en|AirAsia Japan|=ja|エアアジア・ジャパン株式会社|=ja|Eāajia Japan Kabushiki-Gaisha|^
air-air-asia-philippines^^^2010-12-01^APG^PQ^0^Philippines AirAsia^Panafrican^^^^http://en.wikipedia.org/wiki/Philippines_AirAsia^^en|Philippines AirAsia|=en|Panafrican|^
air-air-asia-x^^^^XAX^D7^843^AirAsia X^^^^^http://en.wikipedia.org/wiki/AirAsia_X^15664^en|AirAsia X|^
air-air-astana^^2002-05-15^^KZR^KC^465^Air Astana^^^^^http://en.wikipedia.org/wiki/Air_Astana^44369^en|Air Astana|^
air-air-austral^^1975-01-01^^REU^UU^760^Air Austral^^^^^http://en.wikipedia.org/wiki/Air_Austral^30884^en|Air Austral|^
air-air-azul^^^^LOC^ZQ^0^Air Azul^Carribean Sun^^^^^^en|Air Azul|=en|Carribean Sun|^
air-air-bagan^^^^^W9^17^Air Bagan^^^^^^^en|Air Bagan|^
air-air-baltic^^1995-01-01^^BTI^BT^657^airBaltic^^^^^http://en.wikipedia.org/wiki/AirBaltic^44283^en|airBaltic|^
air-air-bashkortostan^1^2006-04-10^2013-10-09^^ZU^894^Air Bashkortostan^^^^^http://en.wikipedia.org/wiki/Air_Bashkortostan^^en|Air Bashkortostan|^
air-air-berlin^^1979-01-01^^BER^AB^745^Air Berlin^^OneWorld^Member^^http://en.wikipedia.org/wiki/Air_Berlin^103800^en|Air Berlin|^
air-air-bishkek^^2004-01-01^^EAA^KR^265^Air Bishkek^^^^^http://en.wikipedia.org/wiki/Air_Bishkek^602^en|Air Bishkek|^
air-airblue^^2004-06-18^^ABQ^PA^84^Airblue^Florida Coast^^^P^http://en.wikipedia.org/wiki/Airblue^6871^en|Airblue|=en|Florida Coast|^
air-air-botswana^^^^BOT^BP^636^Air Botswana^^^^^^8574^en|Air Botswana|^
air-air-bretagne^^^^OMQ^3E^0^Multi Aero^Air Bretagne^^^^^5238^en|Multi Aero|=en|Air Bretagne|^
air-air-bridge-cargo^^^^SKI^RU^0^Air Bridge Cargo^Tci Skyking^^^C^^^en|Air Bridge Cargo|=en|Tci Skyking|^
air-air-burkina^^^^VBW^2J^226^Air Burkina^^^^^^3266^en|Air Burkina|^
air-air-burundi^^^^PBU^8Y^0^Air Burundi^^^^^^^en|Air Burundi|^
