3char_code^2char_code^name^website
AAM^^Air America^
ONR^N6^Air One Nine Company^
GIB^GI^Air Guinée^https://web.archive.org/web/20010802073844/http://www.mirinet.com/AirGuinee/
KMF^RQ^Kam Air^https://www.kamair.com/
MAK^IN^MAT Macedonian Airlines^http://www.mat.com.mk/
KNI^KD^KD Avia^
GUN^GV^Grant Aviation^http://www.flygrant.com
AXC^VP^Indochina Airlines^http://www.indochinaairlines.com/
URP^^ARP 410 Airlines^http://www.arp410.com.ua
SWN^PT^West Air Sweden^http://www.westair.se/
VLM^VG^VLM Airlines^http://www.flyvlm.com
GMG^Z5^GMG Airlines^http://www.gmgairlines.com/
KIL^GW^Kuban Airlines^http://www.kuban.aero
VOZ^XR^Virgin Australia Regional Airlines^http://www.virginaustralia.com/au/en/skywest/
OZW^XR^Virgin Australia Regional Airlines^http://www.virginaustralia.com/au/en/skywest/
ABV^O4^Antrak Air^
TMA^T2^TMA Cargo^
UZB^HY^Uzbekistan Airways^http://www.uzairways.com
EAL^EA^Eastern Air Lines^
LOA^^LoneStar Airways^
JAV^R5^Jordan Aviation^http://www.jordanaviation.jo
PER^PS^Petroleum Air Services^http://www.pas.com.eg/
VPS^PS^Petroleum Air Services^http://www.pas.com.eg/
LYT^^Apatas Air^http://www.apatas.lt
PGA^NI^Portugália^http://www.portugalia-airlines.pt/
LIA^LI^LIAT^http://www.liat.com/
WHT^WI^White Airways^http://www.flywhite.com
MMZ^YU^EuroAtlantic Airways^http://www.flyeuroatlantic.pt/
BTK^ID^Batik Air^http://www.batikair.com/
TMG^GM^Tri-MG Intra Asia Airlines^
SJY^SJ^Sriwijaya Air^http://www.sriwijayaair.co.id/id
MNA^MZ^Merpati Nusantara Airlines^
BFL^J4^Buffalo Airways^http://www.buffaloairways.com/
AWS^^Arab Wings^http://www.arabwings.com.jo/
CDN^CP^Canadian Airlines^
NYA^NY^New York Air^
YZR^Y8^Yangtze River Express^http://www.yzr.com.cn/
FFP^^Prima Charter^
ITX^IK^Imair Airlines^http://www.imair.com
PEX^PE^People Express Airlines^
TPS^TB^Trump Shuttle^
TJS^^Tyrolean Jet Services^http://www.tjs.at/
WWW^^Janet^
UDN^Z6^Dniproavia^http://www.dniproavia.com/
IDE^DH^Independence Air^http://web.archive.org/web/*/http://www.flyi.com
AZE^ZE^Arcus-Air Logistic^http://www.arcus-air.com/
DAT^SN^SN Brussels Airlines^
MGX^YM^Montenegro Airlines^http://www.montenegroairlines.com
KQA^KQ^Kenya Airways^http://www.kenya-airways.com/
KHB^H8^Dalavia^http://www.dalaviadmd.ru
ELL^OV^Estonian Air^
HAL^HA^Hawaiian Airlines^http://www.hawaiianairlines.com/
MEP^YX^Midwest Airlines^http://www.midwestairlines.com/
DJU^DY^Air Djibouti^http://air-djibouti.com/
SRB^^Solar Air^
KND^K8^Kan Air^http://kanairlines.com
VKO^V5^Vnukovo Airlines^
SHU^HZ^SAT Airlines^http://flyaurora.ru
BRA^BU^Braathens^http://web.archive.org/web/*/http://www.braathens.no
KIS^Y9^Kish Air^http://www.kishairline.com/
IRK^Y9^Kish Air^http://www.kishairline.com/
IRB^B9^Iran Airtour^http://www.iat.aero/
VLU^VF^Valuair^http://www.valuair.com.sg/
CQH^9C^Spring Airlines^http://www.ch.com
VAP^9R^Phuket Air^http://www.phuketairlines.com
ASD^4D^Air Sinai^
IBX^FW^Ibex Airlines^http://www.ibexair.co.jp/
SET^EH^SAETA^http://www.saeta.com.ec/
SFJ^7G^StarFlyer^http://www.starflyer.jp/
ENT^E4^Enter Air^http://www.enterair.pl/lang/set/en
RSY^H5^I-Fly^http://www.iflyltd.ru
^QF^QantasLink^http://www.qantaslink.com.au/
PTI^LC^Equatorial Congo Airlines^http://www.flyecair.com/index.php?id=4
RWZ^WZ^Red Wings Airlines^http://www.flyredwings.com/
GOW^G8^GoAir^http://www.goair.in/
PNW^PF^Palestinian Airlines^http://www.palairlines.com
MHK^6N^Al-Naser Airlines^http://www.alnaserairlines.com/
SYL^R3^Yakutia Airlines^http://www.yakutia.aero
NCA^KZ^Nippon Cargo Airlines^http://www.nca.aero
HKE^UO^HK Express^http://www.hkexpress.com
GWL^IJ^Great Wall Airlines^http://www.gwairlines.com/
SNJ^LQ^Solaseed Air^http://www.skynetasia.co.jp/
EXY^XZ^South African Express^http://www.flyexpress.aero/
RMY^TH^Raya Airways^http://rayaairways.com
SQC^SQ^Singapore Airlines Cargo^http://www.siacargo.com
CKS^K4^Kalitta Air^https://www.kalittaair.us
ORB^R2^Orenair^http://www.orenair.ru
MAS^MH^MASkargo^http://www.maskargo.com
IRZ^^Saha Airlines^
AUZ^AO^Australian Airlines^
BHA^BH^Hawkair^http://www.hawkair.ca
MYD^MY^Maya Island Air^http://www.mayaislandair.com/
VFC^0V^Vietnam Air Services Company^http://vasco.com.vn
TIB^T4^TRIP Linhas Aéreas^http://www.voetrip.com.br
VSP^VP^VASP^http://web.archive.org/web/*/http://www.vasp.com.br/
WLD^^Wilderness Air^http://www.sefofane.com
IOS^5Y^Isles of Scilly Skybus^http://www.islesofscilly-travel.co.uk/travel-information/skybus/
UTA^UT^Union de Transports Aériens^
SAI^NL^Shaheen Air^http://www.shaheenair.com/
OHK^O8^Oasis Hong Kong Airlines^http://www.oasishongkong.com/
EUP^6M^EuroAir^http://www.euroair.gr/
FPO^5O^ASL Airlines France^http://www.aslairlines.fr/
LLR^9I^Air India Regional^http://www.airindia.in
EAF^E7^European Aviation Air Charter^http://www.eaac.co.uk
APJ^MM^Peach^http://www.flypeach.com
WAJ^DJ^AirAsia Japan^
PMT^U4^PMTair^
VTS^5V^Everts Air^http://www.evertsair.com/
^^Excalibur Airways^
EZA^EF^Eznis Airways^
IFA^F3^FAI rent-a-jet^http://www.fai.ag/
KNA^KY^Kunming Airlines^http://www.airkunming.com/
FDR^7V^Federal Air^http://www.fedair.com/
EGS^E3^PRiMA Aero Trasporti Italiani^
ADH^AP^Q1404228^
NFT^^Nefteyugansk United Airline Transportation Company^
RUC^5R^RUTACA Airlines^http://www.flyrutaca.com
OLS^8R^Sol Líneas Aéreas^http://www.sol.com.ar/
SEW^SB^Seaboard World Airlines^
MRL^^Meelad Air^http://www.meeladair.com/
FCM^FC^Finncomm Airlines^
FFM^FY^Firefly^http://www.fireflyz.com.my
FAB^7F^First Air^http://www.firstair.ca/
^^Q1419751^
^^Queen Charlotte Airlines^
MAT^MV^Maldivian Air Taxi^
SWD^A4^Southern Winds Airlines^
AKT^V2^Karat^
NRD^6N^Nordic Airways^
DKN^DN^Simplifly Deccan^https://web.archive.org/web/*/http://www.airdeccan.net/
FSH^7K^Flash Airlines^
SKU^H2^Sky Airline of chile and SudAmerica^http://www.skyairline.com
PCO^8P^Pacific Coastal Airlines^http://www.pacificcoastal.com
GNR^GC^Gambia International Airlines^http://web.archive.org/web/*/http://www.gia.gm/
^GM^Flitestar^
^^Q1433218^
^^Fly 6ix^http://www.fly6ix.com/
FFV^5H^Fly540^http://www.fly540.com/
^^Q1434499^http://fly-alpha.de/?lang=de
FLY^SH^FlyMe^http://web.archive.org/*/http://www.flyme.com/
FLM^F2^Fly Air^http://www.flyair.com.tr
FCM^BE^Nordic Regional Airlines^http://flynorra.com/
GSM^Y2^Flyglobespan^http://www.flyglobespan.com
MED^7Y^Med Airways^http://www.medairways.com/
GCR^GS^Tianjin Airlines^http://www.tianjin-air.com
^^United Nations Humanitarian Air Service^
SCW^TF^Braathens Regional Aviation^https://www.flygbra.se/
MDJ^^JeTran Air^http://www.jetranair.com/
FHY^FH^Freebird Airlines^http://www.freebirdairlines.com
FRL^F8^Freedom Airlines^http://www.mesa-air.com
JZA^QK^Jazz^http://www.flyjazz.ca/
TTH^^Tarhan Tower Airlines^http://www.ttairlines.com/
IWD^TY^Orbest Orizonia Airlines^http://www.orbest.com/
SFW^4Q^Safi Airways^http://www.safiairways.com/
^^Air Tropiques^
^^Q2758413^
AYD^9A^Aladia Airlines^http://www.aladia.com/
^^Q2780915^
SJU^UQ^Skyjet Airlines^http://www.fly-skyjet.com
^^Q2783814^
NGL^NR^Max Air^
^^Q2789936^
CVU^YR^Grand Canyon Airlines^http://www.grandcanyonairlines.com/
^GX^Pacificair^http://www.pacificair.com.ph/home.html
MAG^^Meridian Airways^http://www.meridianairways.com/index.html
^^Q2794979^
^^Eurojet Airlines^http://www.eurojetairlines.com/
DET^9D^DETA Air^http://www.deta.kz/
QAF^^Qatar Amiri Flight^http://www.amiriflight.gov.qa/
AES^VX^ACES^https://web.archive.org/web/*/http://www.acescolombia.com.co/www.acescolombia.com.co
AJV^9N^ANA & JP Express^http://www.ajv.ana-g.com/
AZY^VZ^Arizona Airways^
^^Aer Turas^
AIS^SH^Aeris^http://www.aeris.fr
VEJ^^Aero Ejecutivos^http://www.aeroejecutivos.com.ve
AEK^A4^Aerocon^http://www.aerocon.bo/eng/
LNT^N2^Aerolíneas Internacionales^
MPX^QO^Aeromexpress^http://www.aeromexicocargo.com.mx
WTA^FK^Africa West Airlines^http://www.africawestcargo.com/
VAR^^Air Van Airlines^
^^Air Bleu^
ABP^V6^Air Atlantique^
AEA^^Air Express Algeria^http://airexpressdz.com/
FLA^QH^Air Florida^
^^Kivu Air^
SSV^5G^Maestro^
LIV^^Air Livonia^
ONT^GX^Air Ontario^
^^Air Saguenay^http://www.airsaguenay.com/
SBK^R6^Air Srpska^http://www.angelfire.com/biz3/AirSrpska/
TUN^VK^Air Tungaru^
^VN^Air Vietnam^
URG^3N^Air Urga^http://www.urga.com.ua
AIR^RD^Airlift International^
^OD^AeroCóndor^
IBT^^Ibertrans Aérea^http://www.ibertrans.net/
GMT^UJ^Magnicharters^http://www.magnicharters.com.mx
ALO^AL^Allegheny Airlines^
^KN^Maroomba Airlines^http://www.maroomba.com.au/
DJA^HO^Antinea Airlines^
^^Great Lakes Business Company^
LJB^^Al Jaber Aviation^http://www.ajaprivatejets.com/
LEO^LN^Lionair^
^^Q2855596^
^^Q2855635^
^^Q2866496^
HGH^^Atlantic Air Lift^http://www.atlanticairlift.com
^^Australian National Airways^
VNR^^Avantair^http://www.avantair.com
^9Y^Axis Lines International^
AEY^4Q^AéroLyon^http://www.loongair.cn/
APO^^Aeropro^http://www.aeropro.qc.ca/en/home/
APO^^Aeropro^http://www.aeropro.qc.ca/fr
VSO^^VASO Airlines^
BRB^B7^BRA Transportes Aéreos^http://www.voebra.com.br/
BBB^BB^Balair^
CTS^DF^Centre-South^http://www.center-south.ru/
^^Intermountain Airlines^
^^Rioja Airlines^
LEU^^Lions Air^http://www.lionsair.ch
CBC^B9^Caribair^http://www.caribair.com.do/ingles/index.html
ETN^^Chim-Nir Aviation^http://chimnir.com/
ETN^^Chim-Nir Aviation^http://www.cnairways.com/
AYT^^Ayit Aviation and Tourism^http://www.ayit.co.il
ETS^2Q^Avitrans^http://www.avitrans.se/
BHY^^Bosphorus European Airways^
EXV^8D^Expo Air^
MKE^9M^Megantara Air^http://www.megantara.co.id/
BDY^4V^Birdy Airlines^
HLF^HF^Hapag-Lloyd Flug^http://web.archive.org/web/*/http://www.hapagfly.com/
^^Mack Air^http://www.mackair.co.bw
VLI^V5^Avolar^http://www.avolar.com.mx/
CVE^^Cabo Verde Express^http://www.caboverdeexpress.com/
^^Capital Airlines^
CBB^BB^Cargo B Airlines^http://www.cargob.com
ADK^^Air Hokkaido^http://web.archive.org/web/*/http://www.adk.ana-g.com/
CVC^J7^Centre-Avia^http://web.archive.org/*/http://www.centreavia.ru/
GMR^Y5^Golden Myanmar Airlines^http://gmairlines.com/
^^Q2971967^
CIU^A2^Cielos Airlines^http://www.cielos-airlines.com
PDA^^Podillia Avia^http://www.podilliaavia.com.ua/
CIN^^Comoro Islands Airline^
^^Compagnie des Messageries Aériennes^
^^Q3021162^
TNB^N4^Trans Air Benin^
LPR^MJ^Líneas Aéreas Privadas Argentinas^
SQS^SI^Susi Air^http://www.susiair.com/
NAL^NA^National Airlines^
DCE^K8^Dutch Caribbean Airlines^http://web.archive.org/*/www.flydca.net/
^^Eastern Provincial Airways^
^^Q3047750^
ENK^^Enkor^
ERL^RN^Euralair^
EMX^3W^EuroManx^http://www.euromanx.com/
MEV^VL^Med-View Airline^http://www.medviewairline.com/
^^Q2346551^
CIN^CQ^Constellation Airlines^
PVV^PC^Continental Airways^
KZU^GO^ULS Airlines Cargo^http://www.uls-global.aero/eng/default.asp
^^Q2352104^http://www.meridian-avia.com
STU^SH^Strategic Airlines Luxembourg^http://www.strategicairlines.eu
PNX^IS^AIS Airlines^http://www.aisairlines.nl/
^^Q2355116^
^^Sky Aviation^http://www.sky-aviation.co.id
^^Q2359822^http://www.avia22.ru
^^Q2360282^
DOB^G2^Dobrolet Airlines^
AMJ^^Amjet Executive^http://www.amjetexecutive.com/
^^Tuva Airlines^
SUT^KJ^Sultan Air^
^^AerianTur-M^
UZA^^Constanta Airline^
TXC^AL^TransAVIAexport Airlines^http://www.transaviaexport.com/
SWO^SO^Swiss World Airways^
ONX^OG^Air Onix^http://www.aironix.ua/eng/index.html
^^Q2378678^
VXY^FV^Südavia^
SZ^^Südflug International^
^^Filair^
GEA^^Guinea Ecuatorial Airlines^
BRK^^Bryansk Air Enterprise^
^AG^Agni Air^http://web.archive.org/web/*/http://www.agniair.com/
^^Q2386528^
GRE^^Air Scotland^http://www.air-scotland.com
PXA^^Pecotox Air^
NRO^^Aero Rent^http://www.aerorent.ru/ENG/about
ITT^^Inter Trans Air^
AGU^2G^Angara Airlines^http://www.angara.aero
^^Q2401473^
TEH^CL^Tempelhof Airways^
KAE^3Y^Kartika Airlines^http://www.kartika-airlines.com/
ADI^^Audeli Air^http://www.gestair.com
CLG^CE^Chalair Aviation^http://www.chalair.fr
^^Q2407316^
DSR^WD^DAS Air Cargo^http://www.dasair.com
GCB^GC^Lina Congo^
ACP^8V^Astral Aviation^http://www.astral-aviation.com
^^Q2412574^
^^Veteran Airlines^
NBE^^Novosibirsk Air Enterprise^
^^Q2416248^
WAU^WU^Wizz Air Ukraine^http://www.wizzair.com
^^Q2420702^
CBK^^Chuvashia Airlines^
^^Novgorodavia^
RAD^^Alada^http://web.archive.org/web/*/http://www.netangola.com/alada
TBX^BW^Tobago Express^http://www.caribbean-airlines.com
^^Fina Air^
^^Q2444385^
^^Q2444875^
FTR^^Finist'air^http://www.finistair.fr
VSR^^Aviostart^
^^Q2447407^
KYE^GG^Sky Lease Cargo^http://www.skyleasecargo.com/en/index.php
TAA^TN^Trans Australia Airlines^
NLM^HN^NLM CityHopper^
^^Q2451753^
CLU^^Triple Alpha Luftfahrtgesellschaft^
KGA^R8^Kyrgyzstan Airlines^http://web.archive.org/*/www.kyrgyzstanairlines.kg
^^Q2456733^
LHS^LE^Lugansk Airlines^http://www.avia.lg.ua/
LHS^L7^Lugansk Airlines^http://www.avia.lg.ua/
GIP^2U^Air Guinee Express^
^^Q2465256^
VNZ^L6^TAM Air^
JON^^Johnsons Air^
CIG^^Sirius-Aero^http://www.sirius-aero.ru
OTL^YG^South Airlines^http://www.otlavia.com
HLR^^Heli Air^http://www.heliair.bg/en/
SUW^ZA^Interavia Airlines^
^7Q^Ulendo Airlink^http://www.flyulendo.com
^^Avia Jaynar^
GZP^4G^Gazpromavia^http://gazpromavia.ru/
MWA^MY^Midwest Airlines^
MJB^^Magic Blue Airlines^
^^Q2482784^
CTQ^^CTK – CiTylinK^
^^Q2485630^
^^Q2486741^
UZS^C7^Samarkand Airways^http://www.c7.aero
MMA^^Mondair^
SVJ^^Silver Air^
^^Q2488258^
FLT^B5^Flightline^
^^Air Link International Airways^
KBZ^K7^Air KBZ^http://www.airkbz.com/
AWM^YJ^Asian Wings Airways^http://asianwingsair.com/
TSG^Q8^Trans Air Congo^http://www.flytransaircongo.com/
^^Q2501418^
VHM^^VHM Schul- und Charterflug^
^^Q2511809^
PNR^PV^ASL Airlines Spain^http://www.aslairlines.es
NVI^^Avial NV^
^^Q2516973^
FFR^8F^Fischer Air^
VTF^^Veteran Avia^http://www.veteran.aero/
VRZ^^Vertir Airlines^
RRN^4A^Ararat International Airlines^http://www.araratinternationalairline.com/
VDT^PF^Vayudoot^
^^Tofino Air^http://www.tofinoair.ca/
^^Q3531921^
^^Tortug' Air^http://www.tortugAir.com
^^Trans-Canada Air Lines^
TNU^M8^TransNusa Air Services^http://www.transnusa.co.id/eng/index.html
^^Trans Anguilla Airways^http://www.transanguilla.com
TSR^^Trans Service Airlift^
BOL^2L^Transportes Aéreos Bolivianos^http://www.tabairlines.com
^^Q3538860^
DVI^^Aerodavinci^https://web.archive.org/web/20070415212330/http://aerodavinci.com.mx:80/
SSG^^Slovak Government Flying Service^http://www.minv.sk/
MMD^6I^Air Alsie^http://www.alsie.com
KHY^^Khyber Afghan Airlines^
^UE^Uair^
^EU^United Eagle Airlines^
^^Universal Airlines^http://web.archive.org/web/*/http://www.universal-airlines.com/
^X4^Vanair^http://www.vanair.vu/
WLB^L4^Wings of Lebanon^
RLN^QL^Lankan Cargo^
^^Waltair^
^^Pyrenair^
AZX^7L^AB Airlines^http://web.archive.org/*/http://www.abairlines.com
OBE^BM^Air Bee^
^^Artsakh Air^
PHE^^Pawan Hans^http://www.pawanhans.co.in/
BAL^L9^Belle Air Europe^
^KT^British Airtours^
CNE^LK^Continent^
BBW^^BB Airways^http://www.flybbairways.com/
RCT^RK^R Airlines^http://www.skyviewairways.co.th/
LKA^LF^Lao Central Airlines^http://www.flylaocentral.com
FDN^ZD^Dolphin Air^http://www.dolphinair.ae/profile.html
^^ElbaFly^
PEG^PG^Pelangi Air^
CXN^SZ^China Southwest Airlines^https://web.archive.org/web/20021105041949/http://www.cswa.com/en/index.jsp
HWY^8H^Fly Lappeenranta^http://www.flylappeenranta.fi/index.php?sivu=etusivu&amp;kieli=en
FCX^FC^Falcon Express Cargo Airlines^
BLM^^Blue Sky Airlines^
JPT^^Jupiter-Avia^
KAO^G7^KAPO Avia^
RDO^ED^Air Dominicana^http://wayback.archive.org/web/*/http://www.airdominicana.com.do/
^^Q3820198^
LCI^^Lease Corporation International^http://www.lciaviation.com
LKX^6M^Link Air Express^
^7W^Wayraperú^
MAI^L6^Mauritania Airlines International^http://www.mai.mr/
^^Med Airlines^http://www.med-airlines.com/
MTC^N4^Minerva Airlines^
MNL^^MiniLiner^http://www.miniliner.com
^^Palmair^http://www.palmair.co.uk
^^Thai Global Airline^
^^Sawan Airlines^
HOP^A5^HOP!^http://www.hop.fr
KYB^^Skybridge AirOps^
^^Società Aerea Mediterranea^
PFO^6F^Aerotrans Airlines^
VAU^VA^V Australia^http://www.vaustralia.com.au
SGJ^^Sky Gate International Aviation^
^^Japan Air Transport^
MLA^^40-Mile Air^http://www.fortymileair.com/
AHU^^ABC Air Hungary^http://www.abcair.hu/
^^Adlair Aviation^http://www.adlairaviation.ca/
ATI^HC^Aero-Tropics Air Services^http://www.aero-tropics.com.au/
RVP^WV^Aero VIP^http://www.grupo7air.com/
GRR^^Agroar Carga Aérea^https://web.archive.org/web/20080314203636/http://www.agroar.pt/
USC^^AirNet Express^http://www.airnet.com
RLR^^AirNow^http://www.airnow.com/
AMM^DP^Air 2000^http://www.air2000.com
^^Air East^http://www.eastair.com/
AMW^ZV^Air Midwest^http://www.mesa-air.com
^^Air Montmagny^http://www.airmontmagny.com
^^Air New Orleans^
ASJ^6O^Air Satellite^http://www.air-satellite.com
^^Air Southwest^http://www.airsouthwest.ca
^^Air Southwest^http://www.airsouthwest.ca/
RSI^YI^Air Sunshine^http://www.airsunshine.com
ABK^^Alberta Citylink^
AKN^^Alkan Air^http://www.alkanair.com
ANJ^^Allegiance Air^http://www.allegiance-air.com/
ALZ^^Alta Flights^http://www.altaflights.com/
CIR^5F^Arctic Circle Air^http://www.arcticcircleair.com/
^^Arctic Sunwest Charters^http://www.arcticsunwest.com/
BLR^DH^Atlantic Coast Airlines^http://web.archive.org/web/*/www.atlanticcoast.com
AVJ^^Avia Traffic Company^http://www.aero.kg/
AEH^RX^Aviaexpress^
BHI^^Balkh Airlines^
BXH^^Bar XH Air^http://www.barxh.com/
BRG^8E^Bering Air^http://www.beringair.com
BRD^^Brock Air Services^http://www.brockair.com
KEM^5Z^CemAir^http://www.cemair.co.za
CHL^^Canadian Helicopters^http://www.canadianhelicopters.ca/
CDN^^Canadian Helicopters^http://www.canadianhelicopters.ca/
CAH^S8^Charlan Air Charter^http://www.charlanair.co.za
DAV^^Dornier Aviation Nigeria^http://www.dananig.aero
EZR^EZ^EZAir^http://www.fly-easyair.com/
ENJ^^Enerjet^http://www.enerjet.ca/index.php
FAH^^ASL Airlines Hungary^http://www.aslairlines.ch/
FLE^^Flair Airlines^http://www.flairair.ca/
FTA^2F^Frontier Flying Service^https://web.archive.org/web/20040801215518/http://www.frontierflying.com/
HAG^H6^Hageland Aviation Services^http://www.hageland.com
JBA^JB^Helijet^http://www.helijet.com
HXL^YZ^HollandExel^
AII^^Integra Air^http://www.integraair.com/
MZA^IH^Irtysh Air^http://www.irtyshair.kz/
JET^SI^Jet America Airlines^
KDC^^KD Air^http://www.kdair.com
KEW^FK^Keewatin Air^http://www.kivalliqair.com
KFA^KW^Kelowna Flightcraft Air Charter^http://www.kfaero.ca/cargo-operations/
KEE^^Keystone Air Service^http://www.keystoneair.mb.ca
^^King Island Airlines^http://www.kingislandair.com.au
^FK^Kivalliq Air^http://www.kivalliqair.com
^^Kootenay Direct Airlines^http://www.flykda.com/
^^Korek Airlines^
LCO^UC^Ladeco^
^^Lionair^
LUZ^^Luzair^http://www.luzair.com/
MCP^^MarcoPolo Airways^
^^Maritime Air Charter^http://www.maritimeair.com
^^Mistral Aviation^http://www.easyaviation.co.za/Mistral/
MAL^^Morningstar Air Express^http://www.maei.ca/
^^Nakina Air Service^http://nakinaairservice.com/
NRK^^Naturelink Aviation^http://www.naturelink.co.za/
NBL^^Nobil Air^http://www.nobil-air.com/
^LT^Nor-Alta Aviation^http://canwestair.com/
NCB^^North Cariboo Air^http://www.flynca.com/
OAV^OC^Omni Aviation^http://www.omni.pt/
^OC^PGA Express^
PEA^^Pan Européenne Air Service^http://www.paneuropeenne.com
^^Pat Bay Air^http://www.patbayair.com
WEW^^Pronto Airways^http://www.prontoairways.com/
PRO^^Propair^http://www.propair.ca/?lang=en
PLY^Z4^Puma Air^http://www.pumaair.com.br/
TSH^^R1 Airlines^http://www.r1airlines.ca/
CEA^3C^RegionsAir^http://web.archive.org/web/*/http://www.regionsair.com
SLX^5O^SETE Linhas Aéreas^http://www.voesete.com.br/
SAX^SA^Sabah Air^http://www.sabahair.com.my
^^Salt Spring Air^http://saltspringair.com/
^^Seair Seaplanes^http://www.seairseaplanes.com/
^8D^Servant Air^http://www.servantair.com
SYM^MQ^Simmons Airlines^
BIS^GY^Sky Bishkek^http://www.skybishkek.kg/
SBA^^Sol Linhas Aéreas^http://www.voesol.com.br
SET^^Solenta Aviation^http://www.solenta.co.za/
BRH^^Star Air Cargo^
CNK^^Sunwest Aviation^http://www.sunwestaviation.ca/
^^Superior Airways^http://www.superiorairways.com
^^Swanberg Air^http://swanbergair.com/
^^TAM Aviação Executiva^http://www.tamaviacaoexecutiva.com.br/
TIM^^TEAM Linhas Aéreas^http://www.voeteam.com.br/
THM^^Tahmid Air^http://www.tahmid.kz/
^^Take Air^
TQN^K3^Taquan Air^http://www.taquanair.com
THU^^Thunder Airlines^http://www.thunderair.com/
TFX^^Toll Aviation^http://www.tollaviation.com
TMX^^Tramon Air^http://www.tramonair.com/
ABS^9T^Transwest Air^http://www.transwestair.com/
TKE^JW^Trek Airways^
^^Vancouver Island Air^http://www.vancouverislandair.com/
^^Vincent Aviation^http://www.vincentaviation.co.nz/
VAL^VC^Voyageur Airways^http://www.voyageurairways.com
WAV^4W^Warbelow's Air Ventures^http://www.warbelows.com
WEW^^West Wind Aviation^http://www.westwindaviation.ca
WIG^WG^Wiggins Airways^http://www.wiggins-air.com/
SQH^K5^Wings of Alaska^http://www.wingsofalaska.com
WRF^8V^Wright Air Service^http://www.wrightairservice.com/
^^Arkaim^
BKL^X3^Baikal Airlines^
BRY^^Burundaiavia^http://www.burundaiavia.kz/
^0G^Ghadames Air Transport^
TBZ^I3^Ata Airlines^http://www.ataair.ir/
PSB^^Syrian Pearl Airlines^http://www.flysyrianpearl.com
SME^M4^Smart Aviation Company^http://www.smartaviation.com.eg/
^^Q4126416^http://www.vostokairlines.ru/
SVL^^Slovakian Airlines^
SSR^SG^Sempati Air^
HON^4S^AeroHonduras^http://www.aerohondurasairlines.com/
AYN^^Atlantic Airlines^https://web.archive.org/web/*/http://www.atlanticairlinesint.com/
TWN^EC^Avialeasing^http://www.avialeasing.com/
ISN^I4^Interisland Airlines^http://interislandairlines.com/
DKN^DN^Deccan Charters^http://www.deccanair.com/
RLL^^Air Leone^
IRU^^Chabahar Airlines^http://www.iranair.com/site/468/default.aspx
CXM^3G^AsiaCargo Express^https://www.klas.com.my/Air-Freight-Services/
GSB^3G^AsiaCargo Express^https://www.klas.com.my/Air-Freight-Services/
DCD^^Air 26^
^^Tigris Air^
^^FlyOristano^http://www.flyoristano.com/
^^Mesopotamia Air^
TOB^7T^Tobruk Air^
APG^3D^Air People International^http://www.apiairlines.com
ELR^00^Elrom Airways^
PAU^P7^Palau Airways^http://www.palauairways.com
ACE^^Air Charter Africa^http://www.aircharterafrica.org/
^^Air Leasing Cameroon^http://web.archive.org/web/*/http://airleasing.com/
TWR^^Transworld Aviation^
^^EAS Europe Airlines^
^^ExecuJet Aviation Group^http://www.execujet.com
EGF^OW^Executive Airlines^http://www.aa.com/content/footer/eagleOverview.jhtml
FLB^4H^Fly Linhas Aéreas^
LCD^ZE^Líneas Aéreas Azteca^http://www.aazteca.com.mx
ACA^AC^Air Canada Tango^http://web.archive.org/web/*/http://www.flytango.com
^LL^Loftleiðir^
GBQ^3G^Gambia Bird^http://www.gambiabird.com
IDA^I8^Indonesia Air Transport^http://www.indonesia-air.com/
^^Grands Express Aériens^
HMY^HQ^Harmony Airways^http://web.archive.org/web/*/http://www.harmonyairways.com/
LBO^LB^TAM – Transporte Aéreo Militar^http://www.tam.bo
TTN^VY^Highland Express Airways^
HWY^8H^Highland Airways^
^^Q3147411^
RYX^^Ryazanaviatrans^
^^Q3164766^
NTL^TD^Air Anatolia^
^^RyanAtlantic^
PLS^P3^Aeroflot-Plus^
^^Star Aviation^
^^KNILM^
KEN^M5^Kenmore Air^http://www.kenmoreair.com/
KZW^K6^Khalifa Airways^https://web.archive.org/web/*/khalifaairways-dz.com
DCP^Z9^Delta Connection^http://www.deltaconnection.co.ke/
^^Q3206020^
DEC^3C^Deccan 360^http://www.deccan360.in/
^^Crescent Air Cargo^http://www.crescentaircargo.com
^^Quick Airways Holland^
PSW^^Pskovavia^http://www.pskovavia.ru/
TVV^TR^Travira Air^http://www.travira-air.com
AKF^^Anikay Air^
^K4^ALS – Aircraft Leasing Services^http://als.co.ke
NVQ^VQ^NovoAir^http://www.flynovoair.com
DRS^^Volar Airlines^
SAW^6Q^Cham Wings Airlines^http://www.chamwings.com/
^DA^Djibouti Air^
^^Inter Island Airways^http://www.interislandair.com/
KRI^K9^Krylo Airlines^
^^Khozu Avia^
NRA^^Noar Linhas Aéreas^http://www.voenoar.com.br/
QCL^VZ^Air Class Líneas Aéreas^http://www.airclass.com.uy/
TOS^^Tropic Air^http://www.tropicair.com/
CNO^BU^SAS Braathens^http://www.sasbraathens.no/
REP^P7^Regional Paraguaya^http://www.regionalparaguaya.com.py/
^^Midwest Connect^http://www.midwestairlines.com
MIN^IW^Minerve^
PCP^5P^PAL Airlines^
BML^5Z^Bismillah Airlines^http://www.bismillahairlines.net/
ACK^9K^Nantucket Airlines^
^^New York Airways^
CCS^9C^Samair^http://www.samair.sk/
