3char_code^2char_code^name^website
AAM^^Air America^
TAO^VW^Aeromar^http://www.aeromar.com.mx
MXA^MX^Mexicana de Aviación^http://web.archive.org/*/http://www.mexicana.com
AFL^SU^Aeroflot^http://www.aeroflot.ru
AIC^AI^Air India^http://airindia.in
CYH^3Q^China Yunnan Airlines^http://www.c3q.com.cn/
NOS^NO^Neos^http://www.neosair.it
PLR^J3^Northwestern Air^http://www.nwal.ca/
ARG^AR^Aerolíneas Argentinas^http://www.aerolineas.com
EIN^EI^Aer Lingus^http://www.aerlingus.com
CIM^QA^Cimber^http://www.cimber.dk/
MNO^JE^Mango^http://www.flymango.com/
JJP^GK^Jetstar Japan^http://www.jetstar.com/jp/ja/home
KZK^9Y^Air Kazakhstan^http://ru.airkaz.com/main.html
EUJ^VE^EUjet^
KIS^C3^Contact Air^
^^Northwest Air Base^http://www.nwavia.ru
VLE^VE^Volare Airlines^
LTO^L3^LTU Austria^http://www.ltu.at/
RLK^NZ^Air Nelson^http://www.airnelson.co.nz/
SKK^KP^ASKY Airlines^http://www.flyasky.com/
AFR^AF^Air France^https://www.airfrance.com/
AAG^7M^Air Atlantique^http://www.airatlantique.co.uk/
DNV^D9^Donavia^
ZAS^ZA^ZAS Airline of Egypt^
AWK^^Airwork^http://www.airwork.co.nz/
IZM^4I^IZair^http://www.izair.com.tr/En/
SAB^SN^Sabena^http://web.archive.org/web/*/http://www.sabena.com
KJC^7B^KrasAir^
ZMA^ZJ^Zambezi Airlines^
ZAC^QZ^Zambia Airways^
MBN^Q3^Zambian Airways^http://web.archive.org/web/20060414012334/http://www.zambianairways.com:80/
TAN^B4^ZanAir^http://www.zanair.com/
CXA^MF^Xiamen Airlines^http://www.xiamenair.com/
DWT^F7^Darwin Airline^
FLI^RC^Atlantic Airways^http://www.atlantic.fo
TYA^Y7^Taimyr Air Company^http://www.nordstar.su/
OAW^2L^Helvetic Airways^http://www.helvetic.com
BBO^F7^Baboo^
ALX^EO^Hewa Bora Airways^http://www.hba.cd/hewaboraairways/index.asp?id_sessionlangue=2
BEL^SN^Brussels Airlines^https://www.brusselsairlines.com
LLC^S5^Small Planet Airlines^http://www.smallplanet.aero
PRI^PF^Primera Air^http://primeraair.com
AWC^ZT^Titan Airways^http://www.titan-airways.com/
LAL^WJ^Air Labrador^http://www.airlabrador.com/home/
AZA^AZ^Alitalia^http://www.alitalia.com
GHY^^German Sky Airlines^
NEC^3Z^Necon Air^
SWR^LX^Swiss International Air Lines^https://www.swiss.com
BER^AB^Air Berlin^https://www.airberlin.com
BMA^BD^British Midland Airways Limited^http://www.flybmi.com
JBU^B6^JetBlue Airways^https://www.jetblue.com/
ACQ^N6^Nuevo Continente^
DLA^EN^Air Dolomiti^http://www.airdolomiti.it
CLH^CL^Lufthansa CityLine^http://www.lufthansacityline.com/
^^REDjet^http://web.archive.org/web/*/http://www.flyredjet.com/
BCY^WX^CityJet^http://www.cityjet.com
LGW^HE^Luftfahrtgesellschaft Walter^http://www.lgw.de/
ADN^^Aero-Dienst^http://www.aero-dienst.de/home/home.html?changelang=2
AAH^AQ^Aloha Airlines^http://web.archive.org/web/*/http://www.alohaairlines.com
EWG^EW^Eurowings^https://www.eurowings.com/
CIW^2I^Civair^http://www.civair.co.za/
^^Lufthansa Regional^https://www.lufthansagroup.com/de/unternehmen/allianzen/lufthansa-regional.html
TAT^VD^TAT European Airlines^
HVN^VN^Vietnam Airlines^http://www.vietnamairlines.com/
MHO^MW^Mokulele Airlines^http://www.mokuleleairlines.com/
