0C^1^Catovair<>
0E^1^Amadeus PDF 0E<>Amadeus Pdf 0e
0J^1^Premium Jet AG<>Premium Jet Ag
0K^1^Aircompany Kokshetau<>
0P^1^Palau Pacific Airways<>Palau Asia Pacific Air
1C^1^EDS Information Business<>Eds Information Business
1D^1^Raddix Solutions<>Raddix Solutions Intl
1E^1^Travelsky Technology<>Travelsky Technology Ltd
1G^1^Travelport Galileo<>Travelport Global Distribution
1K^1^Sutra<>Sutra Inc
1P^1^Travelport Worldspan<>Worldspan
1T^1^East Line<>East Line Jsc
1U^1^ITA Software<>Ita Software
1Y^1^Electronic Data Systems (EDS)<>Electronic Data Systems
1Z^1^Fantasia Info Network<>Fantasia Info Network Lt
2A^1^Deutsche Bahn AG<>Deutsche Bahn Ag
2B^1^AK Bars Aero<>Ak Bars Aero
2B^2^AK Bars Aero<>Ak Bars Aero
2C^1^SNCF<>Sncf
2D^1^Dynamic Air<>Dynamic Airways
2D^2^<>Dynamic
2L^2^2L Helvetic<>2l HELVETIC
2P^2^Airphil Express<>Airphil Exp
2Q^1^Air Cargo Carriers<>
2R^1^VIA Rail Canada<>Via Rail Canada Inc
2R^2^VIA Rail<>Via Rail
2Y^1^Amadeus PDF 2Y<>Amadeus Pdf 2y
2Y^2^<>Air Andaman
2Z^2^<>Passaredo
3C^1^Calima Aviacion<>
3G^1^Gambia Bird<>Gambia Bird Airlines Ltd
3Q^1^Carib Aviation Limited<>
3X^1^Japan Air Commuter<>
4A^2^ATSA<>
4C^1^LAN Colombia<>Lan Colombia Airlines
4C^2^Aerovías de Integración Regional (AIRES)<>Lan Colombia
4M^1^LAN Argentina<>Lanargentina
4M^2^LAN argentina<>Lanargentina
4O^2^ABC Aerolineas<>
4R^1^Hamburg International<>
4V^1^Lacbravo<>Lignes Aeriennes Congo
4Z^2^SA Airlink<>Sa Airlink
5G^1^Fly 540 Ghana<>540 Ghana
5G^2^Skyservice Ghana<>Skyservice
5L^1^Aerosur<>
5P^1^PAL Airlines<>Aerolinea Principal Chile
5P^2^Aerolinea Principal Chile<>
5Q^1^BQB Lineas Aereas<>Bqb Lineas Aereas
5Q^2^BQB Lineas<>Bqb Lineas
5T^2^Canadian North<>Canadiannorth
5U^2^LADE<>L A D E
5Y^2^Atlas Air<>Express Rail
5Z^1^CemAir<>Cemair
6G^1^Sun Air Express<>Sun Air Express Llc
6M^1^Air Minas Linhas Aereas<>
6Q^2^Slovak Arlines<>Slovak Arlns
6S^1^Kato Airlines<>
6Y^1^SmartLynx Airlines<>Smartlynx Airlines
7A^2^<>Haines Air
7D^1^Donbassaero Airlines<>
7E^1^Sylt Air<>Sylt Air Gmbh
7H^1^Era Aviation<>Ravin Akaska
7L^1^Aero Caribbean<>Aerocaribbean
7N^1^Pan American World Airways Dominicana<>Pan American World
7S^1^Ryan Air Services<>Amadeus Pdf 7s
7S^2^Arctic Transportation Services<>Amadeus 7s
7V^2^Federal Airlines<>Federal Airl
8F^1^STP Airways<>Stp Airways
8F^2^STP Airways<>Stp Airways
8G^1^Girjet<>
8H^1^BH Air<>Bh Air
8M^1^Myanmar Airways International<>Myanmar Airways Intl
8M^2^<>Myanmar
8Q^2^<>Onur Air
8T^1^Air Tindi<>Air Tindi Ltd
8Z^1^Amadeus PDF 8Z<>Amadeus Pdf 8z
9A^1^Aladia Airlines<>
9F^2^Eurostar UK<>Eurostar Uk
9G^1^9G Rail<>9g Rail Ltd
9J^1^Dana Air<>Dana Airlines Limited
9K^2^<>Cape Air
9N^1^Tropic Air<>Tropic Air Limited
9N^2^<>Tropic Air
9O^2^<>Aircameroon
9Q^2^PB Air<>Pb Air
9S^1^Amadeus PDF 9S<>Amadeus Pdf 9s
9S^2^Amadeus 9S<>Amadeus 9s
9Y^2^<>Fly Georgia
9Z^1^Amadeus PDF 9Z<>Amadeus Pdf 9z
A1^1^G Switch Works<>G2 Switch Works
A5^1^HOP!<>Hop
A5^2^HOP!<>Airlinair
ADH^1^Air One<>Airone S P A
ADH^2^Aliadriatica<>Aliadratica
ADO^1^Air Do<>Airdo
ADO^2^Hokkaido International Airlines<>
AI^1^Air India<>Air India Limited
AIC^1^Air India<>Air India Limited
AIJ^2^ABC Aerolineas<>
AIQ^1^Thai AirAsia<>Thai Airasia
AIQ^2^<>Thai Airasia
AJD^2^GB Airways<>Gb Airways
AJX^1^Air Japan Company<>Air Japan Company Ltd
AK^1^Air Asia<>Airasia Sdn Bhd
AK^2^<>Airasia
AL^2^<>Astral Avia
ALK^1^SriLankan Airlines<>Srilankan Airlines
ALK^2^SriLankan Air<>Srilankan Air
AM^1^AeroMexico<>Aeromexico
AM^2^AeroMexico<>Aeromexico
AMX^1^AeroMexico<>Aeromexico
AMX^2^AeroMexico<>Aeromexico
AN^1^HOP Airlinair<>Hop Airlinair
AN^2^HOP Airlinair<>Hop Airlinair
ANS^1^Andes Lineas Aereas<>Air Nostrum
ANS^2^Andes<>Air Nostrum
AOG^1^<>Aero Vip
AP^1^Air One<>Airone S P A
AP^2^Aliadriatica<>Aliadratica
APD^1^Fantasia Info Network<>Fantasia Info Network Lt
APF^1^Amapola Flyg<>Amapola Flyg Ab
ARE^1^LAN Colombia<>Lan Colombia Airlines
ARE^2^Aerovías de Integración Regional (AIRES)<>Lan Colombia
AS^2^Alaska Airlines<>Alaska A L
ASA^2^Alaska Airlines<>Alaska A L
ASN^1^Hevilift<>Hevi Lift Png Pty Ltd
ASQ^1^Express Jet<>Expressjet Airlines
AT^2^Royal Air Maroc<>R Air Maroc
ATA^2^ARC<>Arc
AU^2^Austral LA<>Austral L A
AUT^2^Austral LA<>Austral L A
AWQ^1^Indonesia AirAsia<>Pt Indonesia Airasia
AWQ^2^Awair<>Ptindairasia
AWU^1^Sylt Air<>Sylt Air Gmbh
AXM^1^Air Asia<>Airasia Sdn Bhd
AXM^2^<>Airasia
AZ^1^Alitalia S.A.I.<>Alitalia S A I S P A
AZ^2^<>Alitalia Spa
