ICAO;IATA;Airportname;Citycode;Cityname;Countrycode;Countryname;NUTS-3
ESSL;LPI;LINKOPING;LPI;LINKOPING;SE;SWEDEN;SE123
ESSD;BLE;BORLANGE/FALUN;BLE;BORLANGE/FALUN;SE;SWEDEN;SE312
ESCL;SOO;SODERHAMN;SOO;SODERHAMN;SE;SWEDEN;SE313
OERY;XXN;KIL RAIL STATION;XXN;KIL;SE;SWEDEN;SE311
ESNO;OER;ORNSKOLDSVIK;OER;ORNSKOLDSVIK;SE;SWEDEN;SE321
ESSB;BMA;STOCKHOLM BROMMA APT;STO;STOCKHOLM;SE;SWEDEN;SE110
ESKN;NYO;STOCKHOLM SKAVSTA AIRPORT;STO;STOCKHOLM;SE;SWEDEN;SE110
ESNQ;KRN;KIRUNA;KRN;KIRUNA;SE;SWEDEN;SE332
ESGR;KVB;SKOVDE;KVB;SKOVDE;SE;SWEDEN;SE232
ESNS;SFT;SKELLEFTEA;SFT;SKELLEFTEA;SE;SWEDEN;SE331
ESOK;KSD;KARLSTAD;KSD;KARLSTAD;SE;SWEDEN;SE311
ESSF;HLF;HULTSFRED;HLF;HULTSFRED;SE;SWEDEN;SE213
ESGG;GOT;GOTHENBURG LANDVETTER APT;GOT;GOTHENBURG;SE;SWEDEN;SE232
LJMB;MBX;MARIBOR;MBX;MARIBOR;SI;SLOVENIA;SI012
LJLJ;LJU;LJUBLJANA;LJU;LJUBLJANA;SI;SLOVENIA;SI021
LJPZ;POW;PORTOROZ;POW;PORTOROZ;SI;SLOVENIA;SI024
LZSL;SLD;SLIAC;SLD;SLIAC;SK;SLOVAKIA;SK032
LZKZ;KSC;KOSICE;KSC;KOSICE;SK;SLOVAKIA;SK042
LZTT;TAT;POPRAD/TATRY;TAT;POPRAD/TATRY;SK;SLOVAKIA;SK042
LZPP;PZY;PIESTANY;PZY;PIESTANY;SK;SLOVAKIA;SK021
LZZI;ILZ;ZILINA;ILZ;ZILINA;SK;SLOVAKIA;SK031
LZPW;POV;PRESOV;POV;PRESOV;SK;SLOVAKIA;SK041
LZIB;BTS;BRATISLAVA M.R.STEFANIK APT;BTS;BRATISLAVA;SK;SLOVAKIA;SK010
LZLU;LUE;LUCENEC;LUE;LUCENEC;SK;SLOVAKIA;SK032
EDOR;n/a;STOLLN/RHINOW airport;n/a;STOLLN/RHINOW;DE;GERMANY;DE426
EDTK;FKB;KARLSRUHE airport;FKB;KARLSRUHE;DE;GERMANY;DE122
ESDB;AGH;ANGELHOLM/HELSINGBORG ANGELHOLM APT;AGH;ANGELHOLM/HELSINGBORG;SE;SWEDEN;SE224
LSZM;BSL;EUROAIRPORT BASEL;EAP;EUROAIRPORT;CH;SWITZERLAND;CH031
LSMU;BXO;BUOCHS;BXO;BUOCHS;CH;SWITZERLAND;CH065
LPFU;FNC;FUNCHAL;FNC;FUNCHAL;PT;PORTUGAL;PT300
LSZS;SMV;ST MORITZ;SMV;ST MORITZ;CH;SWITZERLAND;CH056
EFUT;UTI;KOUVOLA;UTI;KOUVOLA;FI;FINLAND;FI186
EDCG;n/a;RUGEN airport;n/a;RUGEN;DE;GERMANY;DE80H
EDTD;ZQL;DONAUESCHINGEN-VILLINGEN airport;n/a;DONAUESCHINGEN;DE;GERMANY;DE136
LFJR;ANE;ANGERS MARCE airport;ANE;ANGERS MARCE;FR;FRANCE;FR512
EFHE;n/a;HERNESAARI  airport;n/a;HELSINKI;FI;FINLAND;FI181
EFHN;n/a;HANKO airport;n/a;HANKO;FI;FINLAND;FI181
EGNO;n/a;WARTON airport;n/a;PRESTON;GB;UNITED KINGDOM;UKD43
ENAS;n/a;NY ALESUND (SVALBARD) (PRIVATE) airport;n/a;NY ALESUND;NO;NORWAY;n/a
ENBA;n/a;BARENTSBURG (PRIVATE) airport;n/a;BARENTSBURG;NO;NORWAY;n/a
ENBM;n/a;BOMOEN  airport;n/a;BOMOEN;NO;NORWAY;NO051
ENIS;n/a;ISFJORD (PRIVATE) airport;n/a;ISFJORD;NO;NORWAY;n/a
ENJB;n/a;JARLSBERG (PRIVATE) airport;n/a;JARLSBERG;NO;NORWAY;NO033
ENKJ;n/a;KJELLER (MIL/PRIVATE CIV) airport;n/a;KJELLER;NO;NORWAY;NO012
ENUI;n/a;KONGSVINGER airport;n/a;KONGSVINGER;NO;NORWAY;NO021
ENUL;n/a;OS/VAKSINEN (PRIVATE) airport;n/a;OS/VAKSINEN;NO;NORWAY;n/a
ENWG;n/a;MORE OG ROMSDAL-AUKRA airport;n/a;MORE OG ROMSDAL-AUKRA;NO;NORWAY;NO053
ENWV;n/a;TRONDHEIM-VERDAL airport;n/a;TRONDHEIM-VERDAL;NO;NORWAY;NO062
ENYR;n/a;ROGALAND-ORRE airport;n/a;ROGALAND-ORRE;NO;NORWAY;NO043
ENYV;n/a;HORDALAND airport;n/a;HORDALAND;NO;NORWAY;NO051
LSER;n/a;RARON (HEL) airport;n/a;RARON;CH;SWITZERLAND;CH012
LSEZ;n/a;ZERMATT (HEL) airport;n/a;ZERMATT;CH;SWITZERLAND;CH012
LSGB;n/a;BEX airport;n/a;BEX;CH;SWITZERLAND;CH011
LSGE;n/a;ECUVILLENS airport;n/a;ECUVILLENS;CH;SWITZERLAND;CH022
LSGK;VVL;SAANEN airport;VVL;SAANEN;CH;SWITZERLAND;CH021
LSGR;n/a;REICHENBACH airport;n/a;REICHENBACH;CH;SWITZERLAND;CH021
LSGT;n/a;GRUYERES airport;n/a;GRUYERES;CH;SWITZERLAND;CH022
LSGY;n/a;YVERDON-LES-BAINS airport;n/a;YVERDON-LES-BAINS;CH;SWITZERLAND;CH011
LSHA;n/a;GSTAAD-INN GRUND (HEL) airport;n/a;GSTAAD-INN GRUND;CH;SWITZERLAND;CH021
LSHC;n/a;COLLOMBEY-MURAZ (HEL) airport;n/a;COLLOMBEY-MURAZ;CH;SWITZERLAND;CH012
LSHG;n/a;GAMPEL (HEL) airport;n/a;GAMPEL (HEL);CH;SWITZERLAND;CH012
LSMD;n/a;DUBENDORF (MIL) airport;n/a;DUBENDORF (MIL);CH;SWITZERLAND;CH040
LSMF;n/a;MOLLIS (MIL) airport;n/a;MOLLIS (MIL);CH;SWITZERLAND;CH051
LSPL;n/a;LANGENTHAL airport;n/a;LANGENTHAL;CH;SWITZERLAND;CH021
LSPM;n/a;AMBRI airport;n/a;AMBRI;CH;SWITZERLAND;CH070
LSPN;n/a;TRIENGEN airport;n/a;TRIENGEN;CH;SWITZERLAND;CH061
LSPV;n/a;WANGEN-LACHEN airport;n/a;WANGEN-LACHEN;CH;SWITZERLAND;CH063
LSTZ;n/a;ZWEISIMMEN airport;n/a;ZWEISIMMEN;CH;SWITZERLAND;CH021
LSZE;n/a;BAD RAGAZ airport;n/a;BAD RAGAZ;CH;SWITZERLAND;CH055
LSZF;n/a;BIRRFELD airport;n/a;BIRRFELD;CH;SWITZERLAND;CH033
LSZG;n/a;GRENCHEN airport;n/a;GRENCHEN;CH;SWITZERLAND;CH023
LSZK;n/a;SPECK-FEHRALTORF airport;n/a;SPECK-FEHRALTORF;CH;SWITZERLAND;CH040
LSZL;ZJI;LOCARNO airport;ZJI;LOCARNO;CH;SWITZERLAND;CH070
LSZP;n/a;BIEL-KAPPELEN airport;n/a;BIEL-KAPPELEN;CH;SWITZERLAND;CH021
LSZU;n/a;BUTTWIL airport;n/a;BUTTWIL;CH;SWITZERLAND;CH033
LSZV;n/a;SITTERDORF airport;n/a;SITTERDORF;CH;SWITZERLAND;CH057
LFEC;n/a;OUESSANT airport;n/a;OUESSANT;FR;FRANCE;FR522
LFRT;SBK;SAINT-BRIEUC-ARMOR airport;SBK;SAINT-BRIEUC-ARMOR;FR;FRANCE;FR521
TFFS;LSS;LES SAINTES, TERRE DE HAUT airport;LSS;LES SAINTES;FR;FRANCE;FR910
TFFM;GBJ;MARIE GALANTE, GRAND BOURG airport;GBJ;GRAND BOURG;FR;FRANCE;FR910
LFTG;JCA;CANNES-PALM BEACH airport;JCA;CANNES;FR;FRANCE;FR823
LGBL;VOL;NEA ANCHIALOS airport;VOL;NEA ANCHIALOS;GR;GREECE;GR143
EDXP;n/a;HARLE airport;n/a;HARLE;DE;GERMANY;DE94H
LFOK;XCR;CHALONS-VATRY airport;XCR;CHALONS-VATRY;FR;FRANCE;FR213
ENOP;n/a;OPPDAL /FAGERHAUG (PRIVATE) airport);n/a;OPPDAL;NO;NORWAY;NO061
ENEG;n/a;EGGEMOEN (PRIVATE) airport;n/a;EGGEMOEN;NO;NORWAY;NO032
ENGK;n/a;GULLKNAPP (PRIVATE) airport;n/a;GULLKNAPP;NO;NORWAY;NO041
ENHN;n/a;HORNMOEN (PRIVATE) airport;n/a;HORNMOEN;NO;NORWAY;NO021
LIPN;QBS;VERONA/BOSCOMATICO airport;QBS;VERONA;IT;ITALY;ITD31
