iata_code;location_type;country_code;geoname_link;name;asciiname;lang_code;name_list
BAH;C;BH;http://geonames.org/290291 ;0.0949043281012;Kingdom of Bahrain;Kingdom of Bahrain;ar;البحرين=دَوْلَة اَلْبَحْرَيْن=مملكة البحرين
BCN;A;ES;http://geonames.org/3115882 ;0.220368311015;Barcelona–El Prat Airport;Barcelona-El Prat Airport;ar;
BCN;C;ES;http://geonames.org/3128760 ;0.30835850413;Barcelona;Barcelona;ar;برشلونة
BDJ;A;ID;http://geonames.org/6301262 ;0.0348367070692;Syamsudin Noor Airport;Syamsudin Noor Airport;ar;
BDJ;C;ID;http://geonames.org/1650213 ;0.0348367070692;Banjarmasin;Banjarmasin;ar;
BDQ;A;IN;http://geonames.org/7668569 ;0.0109241606097;Vadodara Airport;Vadodara Airport;ar;
BDQ;C;IN;http://geonames.org/1253573 ;0.0109241606097;Vadodara;Vadodara;ar;فادودارا
BDS;A;IT;http://geonames.org/6299542 ;0.0172387347913;Brindisi – Salento Airport;Brindisi - Salento Airport;ar;
BDS;C;IT;http://geonames.org/3181528 ;0.0172387347913;Brindisi;Brindisi;ar;
BEG;A;RS;http://geonames.org/6299779 ;0.0684197030542;Belgrade Nikola Tesla Airport;Belgrade Nikola Tesla Airport;ar;
BEG;C;RS;http://geonames.org/792680 ;0.0684197030542;Belgrade;Belgrade;ar;بلغراد
BER;A;DE;http://geonames.org/8181624 ;0.0197072648792;Berlin Brandenburg Airport;Berlin Brandenburg Airport;ar;مطار برلين براندنبرغ
BER;C;DE;http://geonames.org/2950159 ;0.200714089126;Berlin;Berlin;ar;برلين
BES;A;FR;http://geonames.org/6299451 ;0.0150962981032;Brest-Bretagne;Brest-Bretagne;ar;
BES;C;FR;http://geonames.org/3030300 ;0.0150962981032;Brest;Brest;ar;
BEY;A;LB;http://geonames.org/276636 ;0.0714179283428;Beirut International Airport;Beirut International Airport;ar;مطار بيروت رفيق الحريري الدولي
BEY;C;LB;http://geonames.org/276781 ;0.0714179283428;Beirut;Beirut;ar;بيروت|p=بَيْرُوت
BFN;A;ZA;http://geonames.org/994067 ;0.0159574233994;Bloemfontein Airport;Bloemfontein Airport;ar;
BFN;C;ZA;http://geonames.org/1018725 ;0.0159574233994;Bloemfontein;Bloemfontein;ar;بلومفونتين
BGF;A;CF;http://geonames.org/6296971 ;0.008525269307;Bangui Airport;Bangui Airport;ar;
BGF;C;CF;http://geonames.org/2389853 ;0.008525269307;Bangui;Bangui;ar;
BHH;CA;SA;http://geonames.org/6300011 ;0.0128921736022;Bisha;Bisha;ar;
BHJ;A;IN;http://geonames.org/6301034 ;0.00722809841273;Bhuj Airport;Bhuj Airport;ar;
BHJ;C;IN;http://geonames.org/1275812 ;0.00722809841273;Bhuj;Bhuj;ar;
BHO;A;IN;http://geonames.org/6301036 ;0.0109337859183;Raja Bhoj International Airport;Raja Bhoj International Airport;ar;
BHO;C;IN;http://geonames.org/1275841 ;0.0109337859183;Bhopal;Bhopal;ar;بوبال
