ABN	ABN	Albina Airport	Albina		SR	053000N	0540500W	0	A
ABO	ABO	Aboisso Airport	Aboisso		CI	052600N	0031300W	0	A
ABP	ABP	Atkamba Airport	Atkamba		PG	060400S	1410600E	1	A
ABQ	ABQ	International Sunport Airport	Albuquerque	NM	US	350232N	1063619W	3	A
ABR	ABR	Aberdeen Municipal Airport	Aberdeen	SD	US	452709N	0982534W	2	A
ABS	ABS	Abu Simbel Airport	Abu Simbel		EG	222220N	0313655E	0	A
ABT	ABT	Al-Aqiq Airport	Al Baha		SA	201708N	0413800E	0	A
ABU	ABU	Haliwen Airport	Atambua		ID	090800S	1245300E	2	A
ABV	ABV	Nnamdi Azikiwe Intl Airport	Abuja		NG	090000N	0071600E	0	A
ABW	ABW	Abau Airport	Abau		PG	101100S	1484200E	1	A
ABX	ABX	Albury Airport	Albury	NS	AU	360406S	1465836E	2	A
ABY	ABY	Dougherty County Airport	Albany	GA	US	313156N	0841146W	1	A
ABZ	ABZ	Dyce Airport	Aberdeen	SC	GB	571215N	0021153W	0	A
ACA	ACA	Juan N. Alvarez Intl Airport	Acapulco		MX	164520N	0994601W	1	A
ACB	ACB	Antrim County Airport	Bellaire	MI	US	445900N	0851300W	1	A
ACC	ACC	Kotoka International Airport	Accra		GH	053543N	0001015W	0	A
ACD	ACD	Alcides Fernandez Airport	Acandi		CO	083100N	0771800W	0	A
ACE	ACE	Lanzarote Airport	Lanzarote	CI	ES	285615N	0133613W	2	A
ACH	ACH	St Gallen-Altenrhein Airport	Altenrhein		CH	472906N	0093339E	0	A
ACI	ACI	Alderney Airport	Alderney		GG	494225N	0021255W	0	A
ACJ	ACJ	Anuradhapura Airport	Anuradhapura		LK	082100N	0802300E	0	A
ACK	ACK	Nantucket Memorial Airport	Nantucket	MA	US	411524N	0700335W	1	A
ACL	ACL	Aguaclara Airport	Aguaclara		CO	044500N	0730000W	0	A
ACM	ACM	Arica Airport	Arica		CO	020000S	0715000W	0	A
ACN	ACN	Ciudad Acuna International Airport	Ciudad Acuna		MX	291800N	1005500W	1A	A
ACO	ACO	Ascona Airport	Ascona		CH	460934N	0084659E	0	A
