Three-Letter City Code	City Name	State/Pro.	Country Code	Time Zone Code	STV	Three-Letter Airport Code	Airport Name	Numeric Code	Location Type	Type Name	Aggregated Name
ACK	Nantucket	MA	US	1		ACK	Memorial	0042	3	Airport	Nantucket Memorial Airport
ACL	Aguaclara		CO			ACL		0043	3	Airport	Aguaclara Airport
ACM	Arica		CO			ACM			3	Airport	Arica Airport
ACN	Ciudad Acuna		MX	1	A	ACN	International		3	Airport	Ciudad Acuna International Airport
ACP	Maragheh		IR			ACP	Sahand		3	Airport	Maragheh Sahand Airport
ACR	Araracuara		CO			ACR		0044	3	Airport	Araracuara Airport
ACS	Achinsk		RU	6		ACS			3	Airport	Achinsk Airport
ACT	Waco	TX	US	2		ACT	Metropolitan Area		2	Metropolitan Area	Waco Metropolitan Area
ACT	Waco	TX	US	2		ACT	Municipal	0045	3	Airport	Waco Municipal Airport
ACT	Waco	TX	US	2		CNW	James Connall		3	Airport	Waco James Connall Airport
ACU	Achutupo		PA			ACU			3	Airport	Achutupo Airport
ACV	Arcata	CA	US	4		ACV		0046	3	Airport	Arcata Airport
ACX	Xingyi		CN			ACX			3	Airport	Xingyi Airport
ACZ	Zabol		IR			ACZ			3	Airport	Zabol Airport
ADA	Adana		TR			ADA	Sakirpasa	0048	3	Airport	Adana Sakirpasa Airport
ADA	Adana		TR			UAB	Incirlik AB		3	Airport	Adana Incirlik AB Airport
ADC	Andakombe		PG			ADC			3	Airport	Andakombe Airport
ADD	Addis Ababa		ET			ADD	Bole Intl	0049	3	Airport	Addis Ababa Bole Intl Airport
ADE	Aden		YE			ADE	International	0050	3	Airport	Aden International Airport
ADF	Adiyaman		TR			ADF			3	Airport	Adiyaman Airport
ADG	Adrian	MI	US	1		ADG	Lenawee County		3	Airport	Adrian Lenawee County Airport
ADH	Aldan		RU	8		ADH			3	Airport	Aldan Airport
ADI	Arandis		NA			ADI		0051	3	Airport	Arandis Airport
ADK	Adak Island	AK	US	6		ADK	Adak Island NS	0052	3	Airport	Adak Island Adak Island NS Airport
ADL	Adelaide	SA	AU	3		ADL	International	0053	3	Airport	Adelaide International Airport
ADL	Adelaide	SA	AU	3		XHX	Keswick Railway Stn		5	Railway Station	Adelaide Keswick Railway Stn Railway Station
ADL	Adelaide	SA	AU	3		ZII	Ferry Port		7	Ferry Port	Adelaide Ferry Port
ADM	Ardmore	OK	US	2		ADM	Metropolitan Area		2	Metropolitan Area	Ardmore Metropolitan Area
ADM	Ardmore	OK	US	2		ADM	Municipal	0054	3	Airport	Ardmore Municipal Airport
ADM	Ardmore	OK	US	2		AHD	Downtown	0098	3	Airport	Ardmore Downtown Airport
ADN	Andes		CO			ADN			3	Airport	Andes Airport
ADO	Andamooka	SA	AU	3		ADO		0055	3	Airport	Andamooka Airport
ADP	Ampara		LK			ADP	Gal Oya		3	Airport	Ampara Gal Oya Airport
ADP	Ampara		LK			AFK	Kondavattavan Tank SPB		3	Airport	Ampara Kondavattavan Tank SPB Airport
ADQ	Kodiak	AK	US	5		ADQ			3	Airport	Kodiak Airport
ADQ	Kodiak	AK	US	5		ADQ	Metropolitan Area		2	Metropolitan Area	Kodiak Metropolitan Area
ADQ	Kodiak	AK	US	5		KDK	Municipal	2403	3	Airport	Kodiak Municipal Airport
ADQ	Kodiak	AK	US	5		WDY	Kodiak Fss		3	Airport	Kodiak Kodiak Fss Airport
ADR	Andrews	SC	US	1		ADR		0058	3	Airport	Andrews Airport
ADT	Ada	OK	US	2		ADT			3	Airport	Ada Airport
ADU	Ardabil		IR			ADU			3	Airport	Ardabil Airport
ADV	Addeain		SD			ADV			3	Airport	Addeain Airport
ADW	Camp Springs	MD	US	1		ADW	Andrews AFB		3	Airport	Camp Springs Andrews AFB Airport
ADW	Camp Springs	MD	US	1		ADW	Metropolitan Area		2	Metropolitan Area	Camp Springs Metropolitan Area
ADW	Camp Springs	MD	US	1		NSF	Andrews NAF		3	Airport	Camp Springs Andrews NAF Airport
ADX	St Andrews		GB			ADX	Leuchars RAF		3	Airport	St Andrews Leuchars RAF Airport
ADY	Alldays		ZA			ADY			3	Airport	Alldays Airport
ADZ	San Andres Island		CO			ADZ		0059	3	Airport	San Andres Island Airport
AEA	Abemama		KI	1		AEA		0060	3	Airport	Abemama Airport
AEB	Baise		CN			AEB	Youjiang		3	Airport	Baise Youjiang Airport
AED	Aleneva	AK	US	5		AED			3	Airport	Aleneva Airport
AEE	Adareil		SS			AEE			3	Airport	Adareil Airport
AEG	Padangsidempuan		ID	1		AEG	Aekgodang		3	Airport	Padangsidempuan Aekgodang Airport
AEH	Abeche		TD			AEH		0061	3	Airport	Abeche Airport
AEI	Algeciras		ES	1		AEI	Railway Station		5	Railway Station	Algeciras Railway Station
AEK	Aseki		PG			AEK		0062	3	Airport	Aseki Airport
AEL	Albert Lea	MN	US	2		AEL		0063	3	Airport	Albert Lea Airport
AEO	Aioun el Atrouss		MR			AEO		0064	3	Airport	Aioun el Atrouss Airport
AER	Sochi		RU	2		AER	International	0066	3	Airport	Sochi International Airport
AES	Alesund		NO			AES	Vigra	0067	3	Airport	Alesund Vigra Airport
AET	Allakaket	AK	US	5		AET		0068	3	Airport	Allakaket Airport
AEU	Abu Musa Island		IR			AEU			3	Airport	Abu Musa Island Airport
