Three-Letter City Code	City Name	State/Pro.	Country Code	Time Zone Code	STV	Three-Letter Airport Code	Airport Name	Numeric Code	Location Type	Type Name	Aggregated Name
HSN	Zhoushan		CN			HSN	Putuoshan		3	Airport	Zhoushan Putuoshan Airport
HSP	Hot Springs	VA	US	1		HSP	Ingalls Field	2016	3	Airport	Hot Springs Ingalls Field Airport
HSS	Hisar		IN			HSS			3	Airport	Hisar Airport
HST	Homestead	FL	US	1		HST	AFB		3	Airport	Homestead AFB Airport
HSV	Huntsville	AL	US	2		HSV	Huntsville Intl	2017	3	Airport	Huntsville Huntsville Intl Airport
HSV	Huntsville	AL	US	2		HSV	Metropolitan Area		2	Metropolitan Area	Huntsville Metropolitan Area
HSV	Huntsville	AL	US	2		HUA	Redstone AAF		3	Airport	Huntsville Redstone AAF Airport
HSZ	Hsinchu		TW			HSZ			3	Airport	Hsinchu Airport
HTA	Chita		RU	8		HTA	Kadala		3	Airport	Chita Kadala Airport
HTB	Terre-de-Bas		GP			HTB			3	Airport	Terre-de-Bas Airport
HTG	Khatanga		RU	6		HTG			3	Airport	Khatanga Airport
HTH	Hawthorne	NV	US	4		HTH		2018	3	Airport	Hawthorne Airport
HTI	Hamilton Island	QL	AU	2	B	HTI	Great Barrier Reef		3	Airport	Hamilton Island Great Barrier Reef Airport
HTL	Houghton	MI	US	1		HTL	Roscommon County		3	Airport	Houghton Roscommon County Airport
HTM	Khatgal		MN			HTM			3	Airport	Khatgal Airport
HTN	Hotan		CN			HTN		2019	3	Airport	Hotan Airport
HTO	East Hampton	NY	US	1		HTO		2020	3	Airport	East Hampton Airport
HTR	Hateruma		JP			HTR		2021	3	Airport	Hateruma Airport
HTS	Ashland	KY	US	1		HTS			3	Airport	Ashland Airport
HTS	Huntington	WV	US	1		HTS	Tri-State/Milton		3	Airport	Huntington Tri-State/Milton Airport
HTU	Hopetoun	VI	AU	2		HTU			3	Airport	Hopetoun Airport
HTV	Huntsville	TX	US	2		HTV		2023	3	Airport	Huntsville Airport
HTW	Chesapeake	OH	US	1		HTW	Huntington County		3	Airport	Chesapeake Huntington County Airport
HTY	Hatay		TR			HTY			3	Airport	Hatay Airport
HTZ	Hato Corozal		CO			HTZ		2024	3	Airport	Hato Corozal Airport
HUB	Humbert River	NT	AU	3	A	HUB		2025	3	Airport	Humbert River Airport
HUC	Humacao		PR			HUC		2026	3	Airport	Humacao Airport
HUC	Humacao		PR			HUC	Metropolitan Area		2	Metropolitan Area	Humacao Metropolitan Area
HUC	Humacao		PR			PPD	Palmas Del Mar	4021	3	Airport	Humacao Palmas Del Mar Airport
HUD	Humboldt	IA	US	2		HUD			3	Airport	Humboldt Airport
HUE	Humera		ET			HUE		2027	3	Airport	Humera Airport
HUF	Terre Haute	IN	US	1		HUF	Hulman Field	2028	3	Airport	Terre Haute Hulman Field Airport
HUG	Huehuetenango		GT			HUG			3	Airport	Huehuetenango Airport
HUH	Huahine		PF	2		HUH	Fare	2029	3	Airport	Huahine Fare Airport
HUI	Hue		VN			HUI	Phu Bai Intl	2030	3	Airport	Hue Phu Bai Intl Airport
HUJ	Hugo	OK	US	2		HUJ			3	Airport	Hugo Airport
HUK	Hukuntsi		BW			HUK			3	Airport	Hukuntsi Airport
HUL	Houlton	ME	US	1		HUL	International		3	Airport	Houlton International Airport
HUM	Houma	LA	US	2		HUM	Terrebonne	2031	3	Airport	Houma Terrebonne Airport
HUN	Hualien		TW			HUN		2032	3	Airport	Hualien Airport
HUQ	Hon		LY			HUQ		2033	3	Airport	Hon Airport
HUS	Hughes	AK	US	5		HUS	Municipal	2034	3	Airport	Hughes Municipal Airport
HUT	Hutchinson	KS	US	2		HUT		2035	3	Airport	Hutchinson Airport
HUU	Huanuco		PE			HUU		2036	3	Airport	Huanuco Airport
HUV	Hudiksvall		SE			HUV			3	Airport	Hudiksvall Airport
HUW	Humaita	AM	BR	2	A	HUW			3	Airport	Humaita Airport
HUX	Huatulco		MX	1		HUX			3	Airport	Huatulco Airport
HUY	Humberside		GB			HUY		2037	3	Airport	Humberside Airport
HUZ	Huizhou		CN			HUZ			3	Airport	Huizhou Airport
HVA	Analalava		MG			HVA		2038	3	Airport	Analalava Airport
HVB	Hervey Bay	QL	AU	2	B	HVB		2039	3	Airport	Hervey Bay Airport
HVD	Khovd		MN			HVD			3	Airport	Khovd Airport
HVE	Hanksville	UT	US	3		HVE	Intermediate		3	Airport	Hanksville Intermediate Airport
HVG	Honningsvag		NO			HVG	Valan	2040	3	Airport	Honningsvag Valan Airport
HVK	Holmavik		IS			HVK		2041	3	Airport	Holmavik Airport
HVN	New Haven	CT	US	1		HVN		2043	3	Airport	New Haven Airport
HVN	New Haven	CT	US	1		ZVE	Railway Station		5	Railway Station	New Haven Railway Station
HVR	Havre	MT	US	3		HVR	City County	2044	3	Airport	Havre City County Airport
HVS	Hartsville	SC	US	1		HVS	Municipal	2045	3	Airport	Hartsville Municipal Airport
HWA	Hawabango		PG			HWA			3	Airport	Hawabango Airport
HWD	Hayward	CA	US	4		HWD	Air Terminal		3	Airport	Hayward Air Terminal Airport
HWI	Hawk Inlet	AK	US	5		HWI	Sea Plane Base	2046	3	Airport	Hawk Inlet Sea Plane Base Airport
HWK	Hawker	SA	AU	3		HWK			3	Airport	Hawker Airport
HWN	Hwange National Park		ZW			HWN			3	Airport	Hwange National Park Airport
HWO	Hollywood	FL	US	1		HWO	North Perry		3	Airport	Hollywood North Perry Airport
HXD	Delingha		CN			HXD			3	Airport	Delingha Airport
HXX	Hay	NS	AU	2		HXX		2047	3	Airport	Hay Airport
HYA	Hyannis	MA	US	1		HYA	Barnstable	2048	3	Airport	Hyannis Barnstable Airport
HYC	High Wycombe		GB			HYC	Air Park/Booker		3	Airport	High Wycombe Air Park/Booker Airport
HYD	Hyderabad		IN			BPM	Begumpet		3	Airport	Hyderabad Begumpet Airport
HYD	Hyderabad		IN			HYD	Metropolitan Area		2	Metropolitan Area	Hyderabad Metropolitan Area
HYD	Hyderabad		IN			HYD	Rajiv Gandhi Int'l		3	Airport	Hyderabad Rajiv Gandhi Int'l Airport
HYF	Hayfield		PG			HYF		2050	3	Airport	Hayfield Airport
HYG	Hydaburg	AK	US	5		HYG	Sea Plane Base	2051	3	Airport	Hydaburg Sea Plane Base Airport
HYL	Hollis	AK	US	5		HYL	Sea Plane Base	2052	3	Airport	Hollis Sea Plane Base Airport
HYN	Taizhou		CN			HYN	Luqiao		3	Airport	Taizhou Luqiao Airport
HYR	Hayward	WI	US	2		HYR	Municipal	2053	3	Airport	Hayward Municipal Airport
HYS	Hays	KS	US	2		HYS	Municipal	2054	3	Airport	Hays Municipal Airport
HYV	Hyvinkaa		FI			HYV			3	Airport	Hyvinkaa Airport
HZB	Hazebrouck		FR			HZB	Merville-Colonne		3	Airport	Hazebrouck Merville-Colonne Airport
HZG	Hanzhong		CN			HZG	Xiguan	2055	3	Airport	Hanzhong Xiguan Airport
HZH	Liping		CN			HZH			3	Airport	Liping Airport
HZK	Husavik		IS			HZK		2056	3	Airport	Husavik Airport
HZL	Hazleton	PA	US	1		HZL		2057	3	Airport	Hazleton Airport
HZP	Fort MacKay	AB	CA	5		HZP	Horizon		3	Airport	Fort MacKay Horizon Airport
HZP	Fort MacKay	AB	CA	5		JHL	Albian		3	Airport	Fort MacKay Albian Airport
HZP	Fort MacKay	AB	CA	5		YFI	Firebag		3	Airport	Fort MacKay Firebag Airport
HZV	Hazyview		ZA			HZV			3	Airport	Hazyview Airport
IAA	Igarka		RU	6		IAA			3	Airport	Igarka Airport
IAG	Niagara Falls	NY	US	1		IAG	International	2060	3	Airport	Niagara Falls International Airport
IAM	In Amenas		DZ			IAM	Zarzaitine		3	Airport	In Amenas Zarzaitine Airport
IAN	Kiana	AK	US	5		IAN	Bob Barker Memorial	2061	3	Airport	Kiana Bob Barker Memorial Airport
IAO	Del Carmen (Siargao)		PH			IAO	Sayak		3	Airport	Del Carmen (Siargao) Sayak Airport
IAQ	Bahregan		IR			IAQ			3	Airport	Bahregan Airport
IAR	Yaroslavl		RU	2		IAR	Tunoshna		3	Airport	Yaroslavl Tunoshna Airport
IAS	Iasi		RO			IAS			3	Airport	Iasi Airport
IAT	IATA Traffic Services		ZZ			IAT	Off-line Point		1	Off-Line Point	IATA Traffic Services Off-line Point
IAU	Iaura		PG			IAU			3	Airport	Iaura Airport
IBA	Ibadan		NG			IBA		2063	3	Airport	Ibadan Airport
IBB	Isabela Island		EC	2		IBB	General Villamil		3	Airport	Isabela Island General Villamil Airport
IBE	Ibague		CO			IBE		2064	3	Airport	Ibague Airport
IBI	Iboki		PG			IBI			3	Airport	Iboki Airport
IBL	Indigo Bay Lodge		MZ			IBL			3	Airport	Indigo Bay Lodge Airport
IBO	Ibo		MZ			IBO			3	Airport	Ibo Airport
IBP	Iberia		PE			IBP		2065	3	Airport	Iberia Airport
IBR	Ibaraki		JP			IBR			3	Airport	Ibaraki Airport
IBZ	Ibiza		ES	1		IBZ		2066	3	Airport	Ibiza Airport
ICA	Icabaru		VE			ICA		2067	3	Airport	Icabaru Airport
ICI	Cicia Island		FJ			ICI		2068	3	Airport	Cicia Island Airport
ICK	Nieuw Nickerie		SR			ICK			3	Airport	Nieuw Nickerie Airport
ICL	Clarinda	IA	US	2		ICL	Municipal		3	Airport	Clarinda Municipal Airport
ICO	Sicogon Island		PH			ICO			3	Airport	Sicogon Island Airport
ICR	Nicaro		CU			ICR		2070	3	Airport	Nicaro Airport
ICS	Cascade	ID	US	3		ICS			3	Airport	Cascade Airport
ICT	Wichita	KS	US	2		BEC	Beech		3	Airport	Wichita Beech Airport
ICT	Wichita	KS	US	2		CEA	Cessna Aircraft Field		3	Airport	Wichita Cessna Aircraft Field Airport
ICT	Wichita	KS	US	2		IAB	Mcconnell AFB		3	Airport	Wichita Mcconnell AFB Airport
ICT	Wichita	KS	US	2		ICT	Metropolitan Area		2	Metropolitan Area	Wichita Metropolitan Area
ICT	Wichita	KS	US	2		ICT	Mid-Continent	2071	3	Airport	Wichita Mid-Continent Airport
ICY	Icy Bay	AK	US	5		ICY		2072	3	Airport	Icy Bay Airport
IDA	Idaho Falls	ID	US	3		IDA	Fanning Field	2073	3	Airport	Idaho Falls Fanning Field Airport
IDB	Idre		SE			IDB			3	Airport	Idre Airport
IDC	Chilonzuine Island		MZ			IDC			3	Airport	Chilonzuine Island Airport
IDF	Idiofa		CD	1		IDF		2074	3	Airport	Idiofa Airport
IDG	Ida Grove	IA	US	2		IDG	Municipal		3	Airport	Ida Grove Municipal Airport
IDH	Grangeville	ID	US	4		IDH	Idaho County		3	Airport	Grangeville Idaho County Airport
IDI	Indiana	PA	US	1		IDI		2075	3	Airport	Indiana Airport
IDK	Indulkana	SA	AU	3		IDK		2076	3	Airport	Indulkana Airport
IDN	Indagen		PG			IDN		2077	3	Airport	Indagen Airport
IDO	Santa Isabel do Morro	TO	BR	1	A	IDO		2078	3	Airport	Santa Isabel do Morro Airport
IDP	Independence	KS	US	2		IDP			3	Airport	Independence Airport
IDR	Indore		IN			IDR	Devi Ahilya Bai Holkar	2079	3	Airport	Indore Devi Ahilya Bai Holkar Airport
IDY	Ile d'Yeu		FR			IDY			3	Airport	Ile d'Yeu Airport
IEG	Zielona Gora		PL			IEG	Babimost	2080	3	Airport	Zielona Gora Babimost Airport
IEJ	Iejima		JP			IEJ		2081	3	Airport	Iejima Airport
IES	Riesa		DE			IES	Goehlis		3	Airport	Riesa Goehlis Airport
IES	Riesa		DE			ZRX	Railway Station		5	Railway Station	Riesa Railway Station
IEV	Kiev		UA			IEV	Metropolitan Area		2	Metropolitan Area	Kiev Metropolitan Area
IEV	Kiev		UA			IEV	Zhuliany Intl	2082	3	Airport	Kiev Zhuliany Intl Airport
IEV	Kiev		UA			KBP	Boryspil Intl	2384	3	Airport	Kiev Boryspil Intl Airport
IEV	Kiev		UA			QOF	Darnitsa Bus Station		4	Bus Station	Kiev Darnitsa Bus Station
IEV	Kiev		UA			QOH	Hotel Rus Bus Station		4	Bus Station	Kiev Hotel Rus Bus Station
IFA	Iowa Falls	IA	US	2		IFA			3	Airport	Iowa Falls Airport
IFF	Iffley	QL	AU	2	B	IFF		2083	3	Airport	Iffley Airport
IFH	Hesa		IR			IFH			3	Airport	Hesa Airport
IFJ	Isafjordur		IS			IFJ		2084	3	Airport	Isafjordur Airport
IFL	Innisfail	QL	AU	2	B	IFL		2085	3	Airport	Innisfail Airport
IFN	Esfahan		IR			IFN	Shahid Beheshti Intl	2086	3	Airport	Esfahan Shahid Beheshti Intl Airport
IFO	Ivano-Frankivsk		UA			IFO	International		3	Airport	Ivano-Frankivsk International Airport
IFP	Bullhead City	AZ	US	3	A	IFP	Laughlin Bullhead Intl		3	Airport	Bullhead City Laughlin Bullhead Intl Airport
IGA	Inagua		BS			IGA		2087	3	Airport	Inagua Airport
IGB	Ingeniero Jacobacci	RN	AR			IGB			3	Airport	Ingeniero Jacobacci Airport
IGD	Igdir		TR			IGD			3	Airport	Igdir Airport
IGE	Iguela		GA			IGE	Tchongorove	2088	3	Airport	Iguela Tchongorove Airport
IGG	Igiugig	AK	US	5		IGG		2089	3	Airport	Igiugig Airport
IGH	Ingham	QL	AU	2	B	IGH		2090	3	Airport	Ingham Airport
IGM	Kingman	AZ	US	3	A	IGM		2092	3	Airport	Kingman Airport
IGN	Iligan		PH			IGN	Maria Cristina	2093	3	Airport	Iligan Maria Cristina Airport
IGO	Chigorodo		CO			IGO		2094	3	Airport	Chigorodo Airport
IGR	Iguazu	MI	AR			IGR	Cataratas	2095	3	Airport	Iguazu Cataratas Airport
IGS	Ingolstadt		DE			IGS	Manching		3	Airport	Ingolstadt Manching Airport
IGS	Ingolstadt		DE			ZNQ	Hbf Railway Station		5	Railway Station	Ingolstadt Hbf Railway Station
IGT	Nazran		RU	2		IGT	Sleptsovskaya		3	Airport	Nazran Sleptsovskaya Airport
IGU	Foz do Iguacu	PR	BR	1		IGU	Cataratas Intl	2096	3	Airport	Foz do Iguacu Cataratas Intl Airport
IHA	Niihama		JP			IHA	Off-line Point	2098	1	Off-Line Point	Niihama Off-line Point
IHC	Inhaca		MZ			IHC			3	Airport	Inhaca Airport
IHN	Qishn		YE			IHN		2099	3	Airport	Qishn Airport
IHO	Ihosy		MG			IHO		2100	3	Airport	Ihosy Airport
IHR	Iranshahr		IR			IHR			3	Airport	Iranshahr Airport
IHU	Ihu		PG			IHU		2101	3	Airport	Ihu Airport
IIA	Inishmaan		IE			IIA		2102	3	Airport	Inishmaan Airport
IIL	Ilam		IR			IIL			3	Airport	Ilam Airport
IIS	Nissan Island		PG			IIS		2104	3	Airport	Nissan Island Airport
IJK	Izhevsk		RU	2		IJK			3	Airport	Izhevsk Airport
IJU	Ijui	RS	BR	1		IJU	J.Batista Bos Filho	2105	3	Airport	Ijui J.Batista Bos Filho Airport
IJX	Jacksonville	IL	US	2		IJX	Municipal	2106	3	Airport	Jacksonville Municipal Airport
IKB	Wilkesboro	NC	US	1		IKB	Wilkes County	2107	3	Airport	Wilkesboro Wilkes County Airport
IKE	Ikerasak		GL	1		IKE	Heliport		6	Heliport	Ikerasak Heliport
IKI	Iki		JP			IKI		2108	3	Airport	Iki Airport
IKK	Kankakee	IL	US	2		IKK	Greater Kankakee	2109	3	Airport	Kankakee Greater Kankakee Airport
IKL	Ikela		CD	1		IKL		2110	3	Airport	Ikela Airport
IKO	Nikolski	AK	US	5		IKO	AFS	2111	3	Airport	Nikolski AFS Airport
IKP	Inkerman	QL	AU	2	B	IKP		2112	3	Airport	Inkerman Airport
IKS	Tiksi		RU	8		IKS			3	Airport	Tiksi Airport
IKT	Irkutsk		RU	7		IKT		2113	3	Airport	Irkutsk Airport
ILA	Illaga		ID	3		ILA		2114	3	Airport	Illaga Airport
ILB	Ilha Solteira	MS	BR	2		ILB			3	Airport	Ilha Solteira Airport
ILD	Lleida		ES	1		ILD	Alguaire		3	Airport	Lleida Alguaire Airport
ILD	Lleida		ES	1		QLQ	Railway Station		5	Railway Station	Lleida Railway Station
ILE	Killeen	TX	US	2		GRK	Gray AAF		3	Airport	Killeen Gray AAF Airport
ILE	Killeen	TX	US	2		HLR	Fort Hood AAF		3	Airport	Killeen Fort Hood AAF Airport
ILE	Killeen	TX	US	2		ILE	Metropolitan Area		2	Metropolitan Area	Killeen Metropolitan Area
ILE	Killeen	TX	US	2		ILE	Municipal	2115	3	Airport	Killeen Municipal Airport
ILF	Ilford	MB	CA	4		ILF			3	Airport	Ilford Airport
ILG	Wilmington	DE	US	1		ILG	Greater Wilmington	2116	3	Airport	Wilmington Greater Wilmington Airport
ILG	Wilmington	DE	US	1		ZWI	Railway Station		5	Railway Station	Wilmington Railway Station
ILH	Illesheim		DE			ILH			3	Airport	Illesheim Airport
ILI	Iliamna	AK	US	5		ILI		2117	3	Airport	Iliamna Airport
ILK	Ilaka Atsinanana		MG			ILK		2118	3	Airport	Ilaka Atsinanana Airport
ILL	Willmar	MN	US	2		ILL		2119	3	Airport	Willmar Airport
ILM	Wilmington	NC	US	1		ILM	New Hanover County	2120	3	Airport	Wilmington New Hanover County Airport
ILN	Wilmington	OH	US	1		ILN	Clinton Field	2121	3	Airport	Wilmington Clinton Field Airport
ILO	Iloilo		PH			ILO	International	2122	3	Airport	Iloilo International Airport
ILP	Ile des Pins		NC			ILP	Moue	2123	3	Airport	Ile des Pins Moue Airport
ILQ	Ilo		PE			ILQ			3	Airport	Ilo Airport
ILR	Ilorin		NG			ILR	International	2124	3	Airport	Ilorin International Airport
ILU	Kilaguni		KE			ILU			3	Airport	Kilaguni Airport
ILX	Ileg		PG			ILX			3	Airport	Ileg Airport
ILY	Islay		GB			ILY		2125	3	Airport	Islay Airport
ILZ	Zilina		SK			ILZ		2126	3	Airport	Zilina Airport
IMA	Iamalele		PG			IMA		2127	3	Airport	Iamalele Airport
IMB	Imbaimadai		GY			IMB		2128	3	Airport	Imbaimadai Airport
IMD	Imonda		PG			IMD		2129	3	Airport	Imonda Airport
IMF	Imphal		IN			IMF		2130	3	Airport	Imphal Airport
IMG	Inhaminga		MZ			IMG			3	Airport	Inhaminga Airport
IMI	Ine Island		MH			IMI			3	Airport	Ine Island Airport
IMK	Simikot		NP			IMK		2131	3	Airport	Simikot Airport
IML	Imperial	NE	US	3		IML		2132	3	Airport	Imperial Airport
IMM	Immokalee	FL	US	1		IMM			3	Airport	Immokalee Airport
IMN	Imane		PG			IMN			3	Airport	Imane Airport
IMO	Zemio		CF			IMO			3	Airport	Zemio Airport
IMP	Imperatriz	MA	BR	1	A	IMP		2133	3	Airport	Imperatriz Airport
IMT	Iron Mountain	MI	US	2		IMT	Ford	2134	3	Airport	Iron Mountain Ford Airport
INA	Inta		RU	2		INA			3	Airport	Inta Airport
INB	Independence		BZ			INB		2136	3	Airport	Independence Airport
INC	Yinchuan		CN			INC	Hedong	2137	3	Airport	Yinchuan Hedong Airport
IND	Indianapolis	IN	US	1		IND	International	2138	3	Airport	Indianapolis International Airport
INE	Chinde		MZ			INE			3	Airport	Chinde Airport
INF	In Guezzam		DZ			INF			3	Airport	In Guezzam Airport
ING	Lago Argentino	SC	AR			ING		2139	3	Airport	Lago Argentino Airport
INH	Inhambane		MZ			INH		2140	3	Airport	Inhambane Airport
INI	Nis		RS			INI	Konstantin Veliki	2141	3	Airport	Nis Konstantin Veliki Airport
INJ	Injune	QL	AU	2	B	INJ		2142	3	Airport	Injune Airport
INK	Wink	TX	US	2		INK		2143	3	Airport	Wink Airport
INL	International Falls	MN	US	2		INL	Falls International	2144	3	Airport	International Falls Falls International Airport
INM	Innamincka	SA	AU	3		INM		2145	3	Airport	Innamincka Airport
INN	Innsbruck		AT			INN		2146	3	Airport	Innsbruck Airport
INO	Inongo		CD	1		INO		2147	3	Airport	Inongo Airport
INQ	Inisheer		IE			INQ		2148	3	Airport	Inisheer Airport
INS	Indian Springs	NV	US	4		INS	Af Aux		3	Airport	Indian Springs Af Aux Airport
INT	Winston Salem	NC	US	1		INT	Smith-Reynolds	2149	3	Airport	Winston Salem Smith-Reynolds Airport
INU	Nauru Island		NR			INU	International	2150	3	Airport	Nauru Island International Airport
INV	Inverness		GB			INV	Airport	2151	3	Airport	Inverness Airport
INV	Inverness		GB			ZIV	Railway Station		5	Railway Station	Inverness Railway Station
INW	Winslow	AZ	US	3	A	INW		2152	3	Airport	Winslow Airport
INX	Inanwatan		ID	3		INX			3	Airport	Inanwatan Airport
INY	Inyati		ZA			INY			3	Airport	Inyati Airport
INZ	In Salah		DZ			INZ		2153	3	Airport	In Salah Airport
IOA	Ioannina		GR			IOA	King Pyrros	2154	3	Airport	Ioannina King Pyrros Airport
IOK	Iokea		PG			IOK		2155	3	Airport	Iokea Airport
IOM	Isle of Man		IM			IOM	Ronaldsway	2156	3	Airport	Isle of Man Ronaldsway Airport
ION	Impfondo		CG			ION		2157	3	Airport	Impfondo Airport
IOP	Ioma		PG			IOP		2158	3	Airport	Ioma Airport
IOQ	Isortoq		GL	1		IOQ	Heliport		6	Heliport	Isortoq Heliport
IOR	Inishmore		IE			IOR	Kilronan	2159	3	Airport	Inishmore Kilronan Airport
IOS	Ilheus	BA	BR	1	A	IOS	Eduardo Gomes	2160	3	Airport	Ilheus Eduardo Gomes Airport
IOT	Illorsuit		GL	1		IOT	Heliport		6	Heliport	Illorsuit Heliport
IOW	Iowa City	IA	US	2		IOW			3	Airport	Iowa City Airport
IPA	Ipota		VU			IPA		2162	3	Airport	Ipota Airport
IPC	Easter Island		CL	2		IPC	Mataveri Intl	2163	3	Airport	Easter Island Mataveri Intl Airport
IPE	Ipil		PH			IPE			3	Airport	Ipil Airport
IPG	Ipiranga	AM	BR	2	A	IPG			3	Airport	Ipiranga Airport
IPH	Ipoh		MY			IPH	Sultan Azlan Shah	2164	3	Airport	Ipoh Sultan Azlan Shah Airport
IPI	Ipiales		CO			IPI	San Luis	2165	3	Airport	Ipiales San Luis Airport
IPL	El Centro	CA	US	4		IPL	Imperial County	2166	3	Airport	El Centro Imperial County Airport
IPL	El Centro	CA	US	4		IPL	Metropolitan Area		2	Metropolitan Area	El Centro Metropolitan Area
IPL	El Centro	CA	US	4		NJK	NAF		3	Airport	El Centro NAF Airport
IPL	Imperial	CA	US	4		IPL	Imperial County	2166	3	Airport	Imperial Imperial County Airport
IPN	Ipatinga	MG	BR	1		IPN	Usiminas	2167	3	Airport	Ipatinga Usiminas Airport
IPT	Williamsport	PA	US	1		IPT	Lycoming County	2169	3	Airport	Williamsport Lycoming County Airport
IPU	Ipiau	BA	BR	1	A	IPU			3	Airport	Ipiau Airport
IPW	Ipswich		GB			IPW	Railway Station		5	Railway Station	Ipswich Railway Station
IQA	Al Asad		IQ			IQA	Air Base		3	Airport	Al Asad Air Base Airport
IQM	Qiemo		CN			IQM			3	Airport	Qiemo Airport
IQN	Qingyang		CN			IQN			3	Airport	Qingyang Airport
IQQ	Iquique		CL	1		IQQ	Cavancha	2171	3	Airport	Iquique Cavancha Airport
IQT	Iquitos		PE			IQT	C.F. Secada	2172	3	Airport	Iquitos C.F. Secada Airport
IRA	Kirakira		SB			IRA		2173	3	Airport	Kirakira Airport
IRB	Iraan	TX	US	2		IRB	Municipal		3	Airport	Iraan Municipal Airport
IRC	Circle	AK	US	5		IRC	Circle City		3	Airport	Circle Circle City Airport
IRD	Ishurdi		BD			IRD		2174	3	Airport	Ishurdi Airport
IRE	Irece	BA	BR	1	A	IRE			3	Airport	Irece Airport
IRG	Lockhart River	QL	AU	2	B	IRG		2175	3	Airport	Lockhart River Airport
IRI	Iringa		TZ			IRI		2176	3	Airport	Iringa Airport
IRJ	La Rioja	LR	AR			IRJ		2177	3	Airport	La Rioja Airport
IRK	Kirksville	MO	US	2		IRK	Municipal	2178	3	Airport	Kirksville Municipal Airport
IRM	Igrim		RU	4		IRM			3	Airport	Igrim Airport
IRN	Iriona		HN			IRN			3	Airport	Iriona Airport
IRO	Birao		CF			IRO		2179	3	Airport	Birao Airport
IRP	Isiro		CD	2		IRP	Matari	2180	3	Airport	Isiro Matari Airport
IRS	Sturgis	MI	US	1		IRS	Kirsch Municipal		3	Airport	Sturgis Kirsch Municipal Airport
IRU	Iranamadu		LK			IRU	SPB		3	Airport	Iranamadu SPB Airport
IRZ	Santa Isabel Rio Negro	AM	BR	2	A	IRZ	Tapuruquara		3	Airport	Santa Isabel Rio Negro Tapuruquara Airport
ISA	Mount Isa	QL	AU	2	B	ISA		2181	3	Airport	Mount Isa Airport
ISB	Islamabad		PK			ISB	Benazir Bhutto Intl		3	Airport	Islamabad Benazir Bhutto Intl Airport
ISC	Isles of Scilly		GB			ISC	Metropolitan Area		2	Metropolitan Area	Isles of Scilly Metropolitan Area
ISC	Isles of Scilly		GB			ISC	St Mary's	2182	3	Airport	Isles of Scilly St Mary's Airport
ISC	Isles of Scilly		GB			TSO	Tresco Heliport		6	Heliport	Isles of Scilly Tresco Heliport
ISD	Iscuande		CO			ISD		2183	3	Airport	Iscuande Airport
ISE	Isparta		TR			ISE	Suleyman Demirel		3	Airport	Isparta Suleyman Demirel Airport
ISG	Ishigaki		JP			ISG	New Ishigaki	2184	3	Airport	Ishigaki New Ishigaki Airport
ISH	Ischia		IT			ISH	Harbour	2185	7	Ferry Port	Ischia Harbour Ferry Port
ISI	Isisford	QL	AU	2	B	ISI		2186	3	Airport	Isisford Airport
ISJ	Isla Mujeres		MX	1		ISJ		2187	3	Airport	Isla Mujeres Airport
ISK	Nasik		IN			ISK	Ozar	2188	3	Airport	Nasik Ozar Airport
ISL	Isabel Pass	AK	US	5		ISL		2189	3	Airport	Isabel Pass Airport
ISM	Kissimmee	FL	US	1		ISM	Municipal	2190	3	Airport	Kissimmee Municipal Airport
ISN	Williston	ND	US	2		ISN	Sloulin Field Intl	2191	3	Airport	Williston Sloulin Field Intl Airport
ISO	Kinston	NC	US	1		ISO	Stallings Field	2192	3	Airport	Kinston Stallings Field Airport
ISP	Islip	NY	US	1		ISP	Long Island Macarthur	2193	3	Airport	Islip Long Island Macarthur Airport
ISQ	Manistique	MI	US	1		ISQ	Schoolcraft County		3	Airport	Manistique Schoolcraft County Airport
ISS	Wiscasset	ME	US	1		ISS		2194	3	Airport	Wiscasset Airport
IST	Istanbul		TR			IST	Ataturk	2195	3	Airport	Istanbul Ataturk Airport
IST	Istanbul		TR			IST	Metropolitan Area		2	Metropolitan Area	Istanbul Metropolitan Area
IST	Istanbul		TR			SAW	Sabiha Gokcen		3	Airport	Istanbul Sabiha Gokcen Airport
ISU	Sulaymaniyah		IQ			ISU	International		3	Airport	Sulaymaniyah International Airport
ISW	Wisconsin Rapids	WI	US	2		ISW	Alexander Field	2196	3	Airport	Wisconsin Rapids Alexander Field Airport
ITA	Itacoatiara	AM	BR	2	A	ITA		2197	3	Airport	Itacoatiara Airport
ITB	Itaituba	PA	BR	1	A	ITB		2198	3	Airport	Itaituba Airport
ITE	Itubera	BA	BR	1	A	ITE			3	Airport	Itubera Airport
ITH	Ithaca	NY	US	1		ITH	Tompkins County	2199	3	Airport	Ithaca Tompkins County Airport
ITI	Itambacuri	MG	BR	1		ITI		2200	3	Airport	Itambacuri Airport
ITJ	Itajai	SC	BR	1		ITJ	Off-line Point		1	Off-Line Point	Itajai Off-line Point
ITK	Itokama		PG			ITK		2202	3	Airport	Itokama Airport
ITN	Itabuna	BA	BR	1	A	ITN		2204	3	Airport	Itabuna Airport
ITO	Hilo	HI	US	6	A	ITO	International	2205	3	Airport	Hilo International Airport
ITP	Itaperuna	RJ	BR	1		ITP			3	Airport	Itaperuna Airport
ITQ	Itaqui	RS	BR	1		ITQ		2207	3	Airport	Itaqui Airport
ITR	Itumbiara	GO	BR	1		ITR			3	Airport	Itumbiara Airport
